user_id,recs
1,"[728, 30927, 30870, 5649, 815, 49928, 27384, 26465, 5944, 54320, 41736, 53221, 8976, 10882, 28193, 28018, 44189, 15896, 64459, 22967, 26791, 65626, 14005, 20992, 51019, 33041, 19582, 41737, 76233, 15859, 49439, 76909, 53257, 5242, 6179, 47789, 69946, 30959, 73203, 28156, 41881, 76504, 40852, 22334, 19606, 71538, 25524, 26426, 41091, 33871]"
2,"[55657, 56256, 17308, 47829, 69089, 50881, 39595, 51766, 49754, 39469, 48711, 49764, 35279, 42426, 50997, 12595, 50759, 70823, 56578, 4436, 49761, 50866, 65093, 56368, 51248, 69025, 61821, 50876, 49719, 39755, 40471, 51176, 34401, 51070, 39825, 35274, 70311, 33791, 76786, 40252, 16241, 56312, 69035, 34368, 49779, 56168, 14477, 16577, 56528, 65191]"
3,"[42805, 22002, 58690, 22557, 21959, 54341, 22681, 22660, 22276, 71783, 65772, 55661, 54031, 54323, 21964, 22602, 25620, 32648, 22784, 38962, 21493, 31283, 22191, 22562, 43061, 22364, 42841, 42896, 67383, 67370, 65725, 58247, 58938, 31208, 22661, 67973, 25016, 54365, 22748, 31244, 31254, 22482, 22393, 69971, 31216, 22292, 58258, 64132, 22761, 70217]"
4,"[235, 584, 76088, 7105, 1664, 16, 7994, 504, 73132, 6820, 958, 74819, 14462, 74810, 6853, 923, 6324, 73159, 72936, 60, 6741, 47389, 841, 597, 27953, 9007, 11981, 31958, 6852, 280, 74744, 18049, 27345, 72046, 14808, 6785, 6465, 7004, 6695, 1608, 22978, 23236, 6822, 286, 75568, 74358, 6354, 28011, 19564, 28794]"
5,"[14177, 18206, 7004, 9831, 19922, 75903, 5985, 75568, 74719, 10001, 10339, 29966, 823, 7947, 21052, 35349, 206, 1664, 6963, 29984, 819, 74534, 18049, 37026, 10323, 10056, 8451, 1539, 7031, 2031, 9963, 1141, 6277, 9916, 14595, 43781, 9335, 1881, 7032, 5956, 23939, 74721, 12036, 5814, 9792, 29362, 18171, 8380, 30663, 18969]"
6,"[13954, 50013, 22943, 4240, 3041, 3180, 41869, 8229, 44989, 10119, 5209, 7307, 35937, 20651, 32144, 21006, 3406, 10167, 9318, 4438, 35981, 15961, 27816, 49467, 604, 2740, 3679, 32169, 74750, 24737, 42270, 9900, 3525, 7955, 9298, 18969, 13078, 4178, 20968, 75664, 43330, 23615, 13007, 67600, 22110, 41694, 22871, 15670, 13440, 42267]"
7,"[3180, 74748, 11219, 8381, 45128, 75653, 7752, 18969, 2003, 5739, 20755, 15174, 14679, 13588, 7593, 10339, 12584, 11850, 15099, 13275, 12357, 20526, 12262, 12107, 18912, 13646, 18, 1533, 15579, 28648, 27953, 73685, 11149, 20744, 8629, 42388, 28342, 24117, 9315, 23531, 18286, 21367, 23474, 12755, 10807, 62438, 2355, 10772, 1190, 12210]"
8,"[31964, 74748, 23939, 74376, 13798, 9936, 5604, 13644, 18, 18912, 7007, 31706, 20660, 18887, 20358, 20448, 13511, 75675, 1649, 1539, 47133, 31322, 9872, 10849, 12068, 7817, 1283, 38173, 10056, 13279, 20627, 13543, 819, 25680, 7538, 20532, 43606, 8444, 20492, 15099, 7573, 20484, 20690, 19605, 3637, 2943, 24117, 5890, 13824, 23146]"
9,"[74748, 73132, 6277, 43781, 6697, 5936, 14380, 532, 9992, 222, 10849, 6071, 6453, 6324, 19564, 47389, 6972, 13381, 7, 75568, 72936, 9831, 14177, 6357, 653, 6892, 74721, 18571, 6363, 1231, 9890, 8650, 5698, 6980, 11826, 10001, 19121, 18016, 7637, 6904, 7336, 18109, 35285, 10323, 31958, 6409, 413, 13327, 20109, 597]"
10,"[74741, 14471, 28330, 16256, 23322, 23287, 22978, 16279, 15130, 14625, 27345, 13371, 11208, 75677, 5766, 23281, 8501, 15392, 20359, 21435, 8511, 11862, 9963, 8386, 22968, 22994, 15847, 6139, 23277, 17579, 20296, 28230, 10057, 15136, 823, 75884, 434, 23382, 31938, 26164, 456, 5814, 161, 23310, 26248, 2004, 489, 14775, 13381, 8468]"
11,"[28354, 11219, 18969, 16279, 9393, 31752, 682, 12107, 14471, 11862, 5766, 13564, 24101, 8501, 15150, 1725, 21489, 14386, 33973, 1100, 5772, 18927, 74721, 7813, 5771, 578, 77133, 434, 74376, 23712, 20296, 7548, 20408, 6674, 25166, 31479, 14577, 20475, 31937, 15066, 10049, 1971, 73736, 161, 23326, 15679, 1900, 489, 25188, 2512]"
12,"[26431, 45135, 45151, 2058, 13633, 12435, 23831, 15494, 25606, 14688, 29441, 12258, 26882, 42218, 18927, 45579, 10037, 23932, 13275, 5814, 8451, 28463, 3637, 10699, 15061, 4560, 12423, 19499, 47228, 9629, 76474, 20358, 6113, 4671, 9986, 24987, 23713, 20690, 10791, 20651, 12408, 14160, 13440, 28644, 28681, 25265, 3742, 77029, 9334, 5177]"
13,"[6189, 9712, 74721, 37, 27953, 72936, 6062, 6071, 31958, 14406, 7105, 1362, 10360, 6465, 235, 565, 5547, 990, 102, 74663, 1177, 5798, 12944, 6324, 74748, 74516, 13381, 74923, 43781, 31560, 75586, 27954, 286, 5936, 5854, 6521, 19224, 6357, 6409, 6879, 7, 19221, 9927, 5698, 74802, 31929, 6453, 47924, 912, 12510]"
14,"[14177, 74448, 11201, 11219, 6963, 20259, 19392, 5701, 74663, 15958, 11209, 24041, 9963, 1881, 10849, 31977, 45163, 13458, 63014, 46570, 1844, 75568, 31686, 339, 10869, 823, 7004, 31761, 7068, 7589, 19841, 5800, 76030, 8381, 6216, 11987, 14426, 75586, 1283, 15700, 31659, 31322, 31443, 5615, 15157, 1663, 31304, 5711, 21205, 7237]"
