metric,baseline,reranked,delta
averagepopularity@5,45.842100,30.909949,-14.932151
averagepopularity@10,41.498200,30.764696,-10.733504
giniindex@5,0.986300,0.981329,-0.004971
giniindex@10,0.978200,0.971529,-0.006671
ndcg@5,0.093000,0.024027,-0.068973
ndcg@10,0.084300,0.026527,-0.057773
precision@5,0.088000,0.024901,-0.063099
precision@10,0.076700,0.028084,-0.048616
recall@5,0.011400,0.002330,-0.009070
recall@10,0.018900,0.005287,-0.013613
shannonentropy@5,0.002800,0.002397,-0.000403
shannonentropy@10,0.001800,0.001539,-0.000261
ItemCoverage@5,0.032018,0.039492,0.007473
ItemCoverage@10,0.054323,0.065265,0.010941
Novelty@5,0.303457,0.337630,0.034173
Novelty@10,0.310179,0.333083,0.022903
Serendipity_Ge@5,0.081296,0.024901,-0.056396
Serendipity_Ge@10,0.071404,0.028027,-0.043377
Serendipity_Yan@5,0.013220,0.004068,-0.009152
Serendipity_Yan@10,0.011759,0.004529,-0.007229
Unexpectedness@5,0.162895,0.180375,0.017479
Unexpectedness@10,0.166155,0.179374,0.013219
