user_id,item_id,score
1,40852,10.0
1,71538,9.0
1,41091,8.0
1,64459,7.0
1,65626,6.0
1,44189,5.0
1,5242,4.0
1,28193,3.0
1,73203,2.0
1,6179,1.0
2,16577,10.0
2,69025,9.0
2,69035,8.0
2,49719,7.0
2,51248,6.0
2,35279,5.0
2,35274,4.0
2,33791,3.0
2,39469,2.0
2,51176,1.0
3,70217,10.0
3,67383,9.0
3,42841,8.0
3,22557,7.0
3,22660,6.0
3,25016,5.0
3,58690,4.0
3,42805,3.0
3,64132,2.0
3,38962,1.0
4,18049,10.0
4,75568,9.0
4,7004,8.0
4,28794,7.0
4,73132,6.0
4,31958,5.0
4,9007,4.0
4,47389,3.0
4,504,2.0
4,280,1.0
5,21052,10.0
5,7031,9.0
5,7947,8.0
5,43781,7.0
5,9335,6.0
5,1539,5.0
5,18206,4.0
5,9831,3.0
5,14177,2.0
5,7004,1.0
6,67600,10.0
6,23615,9.0
6,20968,8.0
6,75664,7.0
6,50013,6.0
6,20651,5.0
6,5209,4.0
6,49467,3.0
6,2740,2.0
6,24737,1.0
7,74748,10.0
7,18286,9.0
7,27953,8.0
7,10339,7.0
7,11850,6.0
7,73685,5.0
7,23474,4.0
7,1190,3.0
7,62438,2.0
7,28342,1.0
8,74748,10.0
8,31322,9.0
8,10849,8.0
8,20484,7.0
8,38173,6.0
8,819,5.0
8,1539,4.0
8,25680,3.0
8,19605,2.0
8,5604,1.0
9,74748,10.0
9,47389,9.0
9,9831,8.0
9,10849,7.0
9,18571,6.0
9,35285,5.0
9,13327,4.0
9,75568,3.0
9,6980,2.0
9,14380,1.0
10,74741,10.0
10,5766,9.0
10,823,8.0
10,5814,7.0
10,10057,6.0
10,9963,5.0
10,13381,4.0
10,14775,3.0
10,20359,2.0
10,161,1.0
11,6674,10.0
11,74721,9.0
11,5766,8.0
11,14471,7.0
11,77133,6.0
11,74376,5.0
11,31752,4.0
11,682,3.0
11,33973,2.0
11,10049,1.0
12,10699,10.0
12,19499,9.0
12,20651,8.0
12,14160,7.0
12,6113,6.0
12,45135,5.0
12,5814,4.0
12,4560,3.0
12,28681,2.0
12,8451,1.0
13,9927,10.0
13,74516,9.0
13,74748,8.0
13,1177,7.0
13,31560,6.0
13,6409,5.0
13,5936,4.0
13,43781,3.0
13,12944,2.0
13,6465,1.0
14,5711,10.0
14,1881,9.0
14,19841,8.0
14,10849,7.0
14,31686,6.0
14,75568,5.0
14,45163,4.0
14,63014,3.0
14,46570,2.0
14,7237,1.0
15,1881,10.0
15,74748,9.0
15,13768,8.0
15,18206,7.0
15,43781,6.0
15,1258,5.0
15,9200,4.0
15,45163,3.0
15,75568,2.0
15,14380,1.0
16,28794,10.0
16,30663,9.0
16,933,8.0
16,14462,7.0
16,6972,6.0
16,2182,5.0
16,6354,4.0
16,6741,3.0
16,6815,2.0
16,6920,1.0
17,6815,10.0
17,6741,9.0
17,34859,8.0
17,34870,7.0
17,44010,6.0
17,44007,5.0
17,64453,4.0
17,2249,3.0
17,44035,2.0
17,62468,1.0
18,30589,10.0
18,55138,9.0
18,71932,8.0
18,55948,7.0
18,49371,6.0
18,54522,5.0
18,75453,4.0
18,38556,3.0
18,58788,2.0
18,59091,1.0
19,64453,10.0
19,73460,9.0
19,6505,8.0
19,6789,7.0
19,6815,6.0
19,6741,5.0
19,549,4.0
19,14005,3.0
19,25640,2.0
19,7819,1.0
20,50021,10.0
20,324,9.0
20,356,8.0
20,24163,7.0
20,74810,6.0
20,16,5.0
20,1141,4.0
20,37,3.0
20,100,2.0
20,664,1.0
21,36069,10.0
21,35029,9.0
21,76816,8.0
21,10501,7.0
21,10332,6.0
21,22990,5.0
21,31845,4.0
21,6741,3.0
21,6815,2.0
21,1687,1.0
22,18169,10.0
22,6372,9.0
22,6354,8.0
22,5936,7.0
22,20110,6.0
22,6447,5.0
22,8093,4.0
22,11986,3.0
22,6684,2.0
22,9992,1.0
23,36301,10.0
23,43791,9.0
23,7031,8.0
23,10361,7.0
23,60373,6.0
23,10630,5.0
23,33103,4.0
23,14177,3.0
23,10849,2.0
23,7947,1.0
