metric,baseline,reranked,delta
averagepopularity@5,38.290300,28.467273,-9.823027
averagepopularity@10,34.321600,28.924727,-5.396873
giniindex@5,0.939300,0.914838,-0.024462
giniindex@10,0.911800,0.889496,-0.022304
ndcg@5,0.065200,0.023692,-0.041508
ndcg@10,0.075600,0.036062,-0.039538
precision@5,0.044500,0.018667,-0.025833
precision@10,0.035000,0.021636,-0.013364
recall@5,0.061600,0.026930,-0.034670
recall@10,0.101900,0.058400,-0.043500
shannonentropy@5,0.005000,0.004318,-0.000682
shannonentropy@10,0.003600,0.003123,-0.000477
ItemCoverage@5,0.195739,0.238187,0.042448
ItemCoverage@10,0.292488,0.344226,0.051738
Novelty@5,0.300961,0.330735,0.029774
Novelty@10,0.310543,0.328188,0.017644
Serendipity_Ge@5,0.041939,0.017091,-0.024848
Serendipity_Ge@10,0.032121,0.020121,-0.012000
Serendipity_Yan@5,0.007531,0.003578,-0.003953
Serendipity_Yan@10,0.006044,0.003950,-0.002094
Unexpectedness@5,0.188375,0.207683,0.019308
Unexpectedness@10,0.193944,0.204903,0.010960
