user_id,item_id,score
1,221,10.0
1,2669,9.0
1,2129,8.0
1,3824,7.0
1,1116,6.0
1,715,5.0
1,4437,4.0
1,730,3.0
1,5800,2.0
1,1125,1.0
2,3581,10.0
2,38,9.0
2,1534,8.0
2,6054,7.0
2,3772,6.0
2,895,5.0
2,3304,4.0
2,1374,3.0
2,2044,2.0
2,1883,1.0
3,3824,10.0
3,5864,9.0
3,985,8.0
3,6122,7.0
3,1723,6.0
3,1381,5.0
3,1641,4.0
3,1118,3.0
3,1956,2.0
3,3981,1.0
4,1380,10.0
4,1517,9.0
4,2337,8.0
4,2411,7.0
4,1187,6.0
4,1552,5.0
4,416,4.0
4,3291,3.0
4,2669,2.0
4,221,1.0
5,5792,10.0
5,1299,9.0
5,4643,8.0
5,2931,7.0
5,4624,6.0
5,2588,5.0
5,1297,4.0
5,2222,3.0
5,2620,2.0
5,982,1.0
6,4612,10.0
6,2111,9.0
6,5605,8.0
6,721,7.0
6,5195,6.0
6,191,5.0
6,2888,4.0
6,3035,3.0
6,1944,2.0
6,222,1.0
7,6141,10.0
7,4891,9.0
7,4258,8.0
7,1211,7.0
7,4799,6.0
7,5435,5.0
7,687,4.0
7,3015,3.0
7,988,2.0
7,5314,1.0
8,3604,10.0
8,1912,9.0
8,5043,8.0
8,1066,7.0
8,4517,6.0
8,2285,5.0
8,1338,4.0
8,5033,3.0
8,3011,2.0
8,186,1.0
9,3779,10.0
9,4234,9.0
9,4294,8.0
9,41,7.0
9,4472,6.0
9,685,5.0
9,674,4.0
9,1698,3.0
9,2955,2.0
9,1509,1.0
10,221,10.0
10,1517,9.0
10,971,8.0
10,1481,7.0
10,2669,6.0
10,2939,5.0
10,1125,4.0
10,302,3.0
10,553,2.0
10,1526,1.0
11,895,10.0
11,3211,9.0
11,3581,8.0
11,4367,7.0
11,3751,6.0
11,2367,5.0
11,3171,4.0
11,2160,3.0
11,3180,2.0
11,38,1.0
12,5654,10.0
12,3491,9.0
12,3782,8.0
12,4089,7.0
12,238,6.0
12,4918,5.0
12,5381,4.0
12,3652,3.0
12,6196,2.0
12,3804,1.0
13,4213,10.0
13,1559,9.0
13,3014,8.0
13,1890,7.0
13,2077,6.0
13,1843,5.0
13,4270,4.0
13,6007,3.0
13,2131,2.0
13,3902,1.0
14,3609,10.0
14,2183,9.0
14,1891,8.0
14,731,7.0
14,747,6.0
14,2935,5.0
14,376,4.0
14,1205,3.0
14,1698,2.0
14,1509,1.0
15,6073,10.0
15,3011,9.0
15,2122,8.0
15,2285,7.0
15,4227,6.0
15,5653,5.0
15,761,4.0
15,1380,3.0
15,3806,2.0
15,971,1.0
16,4879,10.0
16,4043,9.0
16,1849,8.0
16,3462,7.0
16,3516,6.0
16,2411,5.0
16,3652,4.0
16,3804,3.0
16,4918,2.0
16,2357,1.0
17,2371,10.0
17,2285,9.0
17,4879,8.0
17,1893,7.0
17,1125,6.0
17,895,5.0
17,1862,4.0
17,5293,3.0
17,1849,2.0
17,2011,1.0
18,2285,10.0
18,1059,9.0
18,2347,8.0
18,1849,7.0
18,928,6.0
18,4240,5.0
18,5293,4.0
18,2011,3.0
18,4846,2.0
18,5654,1.0
19,2073,10.0
19,2669,9.0
19,3011,8.0
19,1843,7.0
19,2067,6.0
19,2935,5.0
19,212,4.0
19,4191,3.0
19,2164,2.0
19,971,1.0
20,845,10.0
20,5033,9.0
20,1552,8.0
20,44,7.0
20,1872,6.0
20,1862,5.0
20,971,4.0
20,1887,3.0
20,2046,2.0
20,2337,1.0
21,2122,10.0
21,1380,9.0
21,4235,8.0
21,1887,7.0
21,4380,6.0
21,1495,5.0
21,1517,4.0
21,3,3.0
21,4862,2.0
21,1177,1.0
22,4367,10.0
22,158,9.0
22,2909,8.0
22,2658,7.0
22,1635,6.0
22,761,5.0
22,4063,4.0
22,2886,3.0
22,3574,2.0
22,4338,1.0
23,1893,10.0
23,1849,9.0
23,5654,8.0
23,3574,7.0
23,928,6.0
23,1610,5.0
23,2011,4.0
23,4399,3.0
23,2517,2.0
23,2411,1.0
24,3609,10.0
24,4320,9.0
24,5023,8.0
24,347,7.0
24,4874,6.0
24,2796,5.0
24,4096,4.0
24,5043,3.0
24,2164,2.0
24,3757,1.0
25,4322,10.0
25,2144,9.0
25,5033,8.0
25,4355,7.0
25,928,6.0
25,5056,5.0
25,2337,4.0
25,2326,3.0
25,4284,2.0
25,4875,1.0
26,895,10.0
26,4367,9.0
26,730,8.0
26,1374,7.0
26,4388,6.0
26,1426,5.0
26,6054,4.0
26,1366,3.0
26,2213,2.0
26,4356,1.0
27,590,10.0
27,3546,9.0
27,1135,8.0
27,3609,7.0
27,5033,6.0
27,715,5.0
27,3639,4.0
27,2708,3.0
27,971,2.0
27,1883,1.0
28,2285,10.0
28,3639,9.0
28,357,8.0
28,344,7.0
28,1893,6.0
28,2347,5.0
28,1552,4.0
28,1869,3.0
28,5315,2.0
28,3646,1.0
29,1130,10.0
29,3762,9.0
29,5561,8.0
29,5256,7.0
29,1532,6.0
29,5864,5.0
29,4484,4.0
29,5093,3.0
29,3259,2.0
29,2888,1.0
30,3079,10.0
30,753,9.0
30,2564,8.0
30,5605,7.0
30,2939,6.0
30,819,5.0
30,823,4.0
30,221,3.0
30,5201,2.0
30,1843,1.0
31,5321,10.0
31,722,9.0
31,1365,8.0
31,4715,7.0
31,1509,6.0
31,3742,5.0
31,6027,4.0
31,3005,3.0
31,1392,2.0
31,5711,1.0
32,2879,10.0
32,1994,9.0
32,1854,8.0
32,1861,7.0
32,3219,6.0
32,4864,5.0
32,1120,4.0
32,3279,3.0
32,5801,2.0
32,2342,1.0
33,221,10.0
33,1843,9.0
33,193,8.0
33,715,7.0
33,895,6.0
33,4841,5.0
33,1366,4.0
33,2367,3.0
33,2596,2.0
33,2122,1.0
34,916,10.0
34,3255,9.0
34,3259,8.0
34,1812,7.0
34,5864,6.0
34,730,5.0
34,1994,4.0
34,3824,3.0
34,5144,2.0
34,621,1.0
35,5006,10.0
35,5001,9.0
35,3609,8.0
35,2183,7.0
35,5033,6.0
35,169,5.0
35,1944,4.0
35,1366,3.0
35,221,2.0
35,3005,1.0
36,2669,10.0
36,2621,9.0
36,1994,8.0
36,1327,7.0
36,1843,6.0
36,1366,5.0
36,2367,4.0
36,3751,3.0
36,2123,2.0
36,1883,1.0
37,5777,10.0
37,3169,9.0
37,2535,8.0
37,5226,7.0
37,3229,6.0
37,4843,5.0
37,38,4.0
37,4789,3.0
37,3270,2.0
37,2012,1.0
38,674,10.0
38,854,9.0
38,1255,8.0
38,1767,7.0
38,4156,6.0
38,969,5.0
38,1658,4.0
38,3685,3.0
38,4714,2.0
38,747,1.0
39,971,10.0
39,1366,9.0
39,2122,8.0
39,6054,7.0
39,3764,6.0
39,2367,5.0
39,4356,4.0
39,4355,3.0
39,1534,2.0
39,38,1.0
40,1904,10.0
40,2122,9.0
40,169,8.0
40,895,7.0
40,715,6.0
40,221,5.0
40,969,4.0
40,4522,3.0
40,5289,2.0
40,1927,1.0
41,1366,10.0
41,5289,9.0
41,715,8.0
41,3169,7.0
41,4509,6.0
41,969,5.0
41,38,4.0
41,4789,3.0
41,3139,2.0
41,1658,1.0
42,1197,10.0
42,5321,9.0
42,1999,8.0
42,2106,7.0
42,2669,6.0
42,2588,5.0
42,1843,4.0
42,2674,3.0
42,1164,2.0
42,753,1.0
43,2695,10.0
43,6089,9.0
43,940,8.0
43,4240,7.0
43,1849,6.0
43,5725,5.0
43,5548,4.0
43,406,3.0
43,944,2.0
43,484,1.0
44,6124,10.0
44,4864,9.0
44,638,8.0
44,3581,7.0
44,3680,6.0
44,2879,5.0
44,3245,4.0
44,5554,3.0
44,644,2.0
44,2973,1.0
45,846,10.0
45,3609,9.0
45,4345,8.0
45,5748,7.0
45,4841,6.0
45,1887,5.0
45,357,4.0
45,761,3.0
45,730,2.0
45,4322,1.0
46,1431,10.0
46,2939,9.0
46,5777,8.0
46,1311,7.0
46,1994,6.0
46,3273,5.0
46,1267,4.0
46,3194,3.0
46,3169,2.0
46,2017,1.0
47,103,10.0
47,136,9.0
47,5366,8.0
47,753,7.0
47,326,6.0
47,5363,5.0
47,2063,4.0
47,5711,3.0
47,834,2.0
47,2575,1.0
48,982,10.0
48,985,9.0
48,3129,8.0
48,2616,7.0
48,1118,6.0
48,1927,5.0
48,2049,4.0
48,3133,3.0
48,1956,2.0
48,4406,1.0
49,674,10.0
49,1431,9.0
49,4714,8.0
49,2669,7.0
49,1843,6.0
49,4624,5.0
49,1255,4.0
49,2535,3.0
49,715,2.0
49,2650,1.0
50,5008,10.0
50,4296,9.0
50,2341,8.0
50,3751,7.0
50,2864,6.0
50,170,5.0
50,1964,4.0
50,4873,3.0
50,985,2.0
50,44,1.0
51,5195,10.0
51,1467,9.0
51,2072,8.0
51,2669,7.0
51,988,6.0
51,5201,5.0
51,4714,4.0
51,3005,3.0
51,2815,2.0
51,1596,1.0
52,508,10.0
52,5417,9.0
52,5431,8.0
52,4331,7.0
52,4963,6.0
52,5973,5.0
52,4455,4.0
52,5871,3.0
52,2460,2.0
52,3078,1.0
53,5321,10.0
53,1596,9.0
53,753,8.0
53,2566,7.0
53,751,6.0
53,4600,5.0
53,2574,4.0
53,1410,3.0
53,1205,2.0
53,1751,1.0
54,908,10.0
54,221,9.0
54,396,8.0
54,5201,7.0
54,4144,6.0
54,1934,5.0
54,1004,4.0
54,5174,3.0
54,168,2.0
54,3005,1.0
55,85,10.0
55,731,9.0
55,1843,8.0
55,1891,7.0
55,2183,6.0
55,2935,5.0
55,5033,4.0
55,3609,3.0
55,191,2.0
55,376,1.0
56,3067,10.0
56,2084,9.0
56,1365,8.0
56,553,7.0
56,916,6.0
56,3025,5.0
56,1431,4.0
56,1537,3.0
56,1994,2.0
56,2052,1.0
57,193,10.0
57,1366,9.0
57,103,8.0
57,2650,7.0
57,221,6.0
57,2939,5.0
57,730,4.0
57,971,3.0
57,2073,2.0
57,1125,1.0
58,6202,10.0
58,553,9.0
58,1038,8.0
58,5256,7.0
58,3824,6.0
58,5801,5.0
58,4437,4.0
58,2394,3.0
58,1490,2.0
58,2609,1.0
59,1509,10.0
59,5774,9.0
59,2174,8.0
59,5006,7.0
59,2183,6.0
59,3303,5.0
59,2283,4.0
59,3604,3.0
59,2235,2.0
59,2232,1.0
60,1509,10.0
60,3011,9.0
60,1338,8.0
60,685,7.0
60,1767,6.0
60,221,5.0
60,1843,4.0
60,715,3.0
60,2067,2.0
60,1887,1.0
61,553,10.0
61,3824,9.0
61,5864,8.0
61,901,7.0
61,1125,6.0
61,485,5.0
61,1499,4.0
61,1091,3.0
61,1710,2.0
61,1964,1.0
62,1999,10.0
62,5321,9.0
62,3079,8.0
62,3005,7.0
62,1205,6.0
62,685,5.0
62,2669,4.0
62,1509,3.0
62,1843,2.0
62,823,1.0
63,1638,10.0
63,6027,9.0
63,3546,8.0
63,859,7.0
63,1698,6.0
63,996,5.0
63,1843,4.0
63,1266,3.0
63,136,2.0
63,2073,1.0
64,753,10.0
64,3005,9.0
64,854,8.0
64,41,7.0
64,5605,6.0
64,4714,5.0
64,2939,4.0
64,2674,3.0
64,1509,2.0
64,222,1.0
65,3259,10.0
65,3824,9.0
65,1490,8.0
65,553,7.0
65,713,6.0
65,3025,5.0
65,1431,4.0
65,694,3.0
65,654,2.0
65,2669,1.0
66,221,10.0
66,3005,9.0
66,1509,8.0
66,1104,7.0
66,1771,6.0
66,5195,5.0
66,1432,4.0
66,2669,3.0
66,5605,2.0
66,1343,1.0
67,1380,10.0
67,753,9.0
67,4296,8.0
67,5605,7.0
67,971,6.0
67,6111,5.0
67,1164,4.0
67,916,3.0
67,1843,2.0
67,2906,1.0
68,1380,10.0
68,971,9.0
68,221,8.0
68,2967,7.0
68,6202,6.0
68,2669,5.0
68,2955,4.0
68,1521,3.0
68,1526,2.0
68,6069,1.0
69,722,10.0
69,5321,9.0
69,1074,8.0
69,2955,7.0
69,2945,6.0
69,4714,5.0
69,859,4.0
69,5272,3.0
69,6103,2.0
69,812,1.0
70,748,10.0
70,2652,9.0
70,221,8.0
70,2073,7.0
70,1843,6.0
