user_id,recs
1,"[603, 6680, 7184, 76371, 75993, 27175, 53221, 9629, 19589, 19131, 20789, 28156, 6177, 19202, 25500, 3795, 45135, 16239, 19715, 10450, 23322, 12271, 45007, 48204, 14096, 74778, 7236, 14005, 15896, 14121, 13904, 7044, 3373, 74748, 3038, 22965, 7571, 3671, 28018, 3628, 73135, 7198, 41881, 74371, 7473, 55175, 31979, 583, 49966, 32176]"
2,"[1588, 16577, 51248, 70711, 77220, 53580, 49340, 51775, 49722, 69035, 70107, 39970, 77119, 51426, 39878, 59777, 49343, 63056, 71100, 39508, 70031, 53874, 54563, 35057, 52086, 75753, 49669, 57703, 51630, 53386, 39890, 51218, 39150, 51305, 36197, 38661, 49853, 30507, 40189, 29178, 39714, 24095, 29021, 37502, 70634, 51517, 35058, 56723, 64982, 74467]"
3,"[6680, 76371, 75993, 15896, 74748, 57473, 55175, 11488, 19589, 8568, 43188, 7184, 53221, 43317, 32176, 7638, 48204, 30943, 41789, 55531, 28654, 42220, 50997, 22867, 58733, 21101, 20675, 28156, 54320, 9629, 77191, 43311, 25596, 43348, 20789, 75310, 15831, 56323, 43349, 55439, 15943, 47823, 74721, 603, 43145, 6815, 59777, 43239, 3671, 19580]"
4,"[16, 235, 74858, 6680, 76371, 75993, 664, 6785, 47924, 7105, 76088, 74744, 584, 83, 34859, 907, 60, 6507, 44006, 841, 3746, 5702, 6695, 6750, 22906, 2027, 74721, 37986, 73758, 6789, 895, 5953, 994, 633, 876, 1685, 27995, 475, 9982, 2153, 74358, 642, 1664, 6819, 7994, 5547, 32, 6465, 1470, 6735]"
5,"[74858, 37, 6680, 76371, 75993, 74719, 565, 9963, 27953, 1881, 74748, 74721, 6920, 7105, 74663, 990, 76088, 10339, 14751, 584, 75903, 75675, 76019, 74923, 47924, 5820, 16, 6465, 74744, 74711, 62311, 6963, 21251, 235, 20211, 14595, 30663, 75568, 793, 11209, 74439, 823, 951, 9641, 72936, 29984, 547, 6177, 74802, 2093]"
6,"[10339, 74748, 13288, 8451, 74721, 7638, 18969, 31929, 20358, 9963, 11209, 9629, 77133, 6239, 7044, 77131, 13458, 75675, 13816, 6177, 28648, 14595, 14736, 10807, 45081, 13595, 13588, 13364, 1642, 1719, 20755, 13646, 7307, 20597, 37670, 13573, 5814, 13644, 10981, 19006, 23615, 13797, 73080, 28156, 6059, 13334, 811, 10049, 13978, 19564]"
7,"[10339, 75903, 74748, 13288, 18969, 74721, 20358, 11209, 14595, 9963, 13816, 77133, 10840, 7638, 13458, 31929, 77131, 10807, 13588, 13595, 20755, 13808, 37670, 13797, 20597, 13573, 1719, 13644, 9629, 6491, 11009, 6177, 28648, 45081, 6059, 13334, 13646, 13570, 811, 14736, 10855, 23615, 13633, 10981, 62488, 13978, 7044, 13798, 1881, 10772]"
8,"[74748, 74721, 20358, 11209, 75675, 14595, 9963, 7638, 31929, 77131, 10807, 6239, 37670, 13644, 9629, 6491, 11009, 6177, 28648, 45081, 6059, 13646, 811, 14736, 23615, 10981, 13364, 13978, 7044, 1881, 10772, 45128, 11219, 73080, 1731, 13968, 10049, 12384, 20851, 21592, 6010, 28156, 74795, 18201, 15795, 21155, 20732, 10791, 20744, 14742]"
9,"[74858, 6680, 76371, 75993, 74719, 565, 9963, 27953, 74748, 1881, 74721, 77131, 77133, 74663, 14751, 75903, 75675, 76019, 74923, 47924, 5820, 74711, 74744, 16, 62311, 21251, 19564, 235, 20211, 1844, 30663, 75568, 793, 11209, 823, 73132, 12944, 74439, 9641, 6177, 547, 2093, 74802, 47389, 6785, 9200, 9839, 22987, 345, 5814]"
10,"[16, 37, 235, 565, 27953, 74439, 74663, 74802, 74923, 75586, 100, 6920, 664, 75993, 83, 6785, 34859, 6507, 44006, 7638, 3746, 14823, 9641, 7819, 37986, 2027, 907, 74840, 73758, 895, 5953, 60, 5702, 74744, 500, 47924, 9982, 7105, 32, 76088, 1470, 6735, 603, 46407, 1657, 584, 2153, 27995, 47835, 15280]"
