metric,baseline,reranked,delta
averagepopularity@5,103.435100,66.840364,-36.594736
averagepopularity@10,94.900900,67.844400,-27.056500
giniindex@5,0.998900,0.997494,-0.001406
giniindex@10,0.997900,0.996434,-0.001466
ndcg@5,0.046600,0.027169,-0.019431
ndcg@10,0.043200,0.029297,-0.013903
precision@5,0.044300,0.027516,-0.016784
precision@10,0.040600,0.030472,-0.010128
recall@5,0.004100,0.002664,-0.001436
recall@10,0.007500,0.005727,-0.001773
shannonentropy@5,0.013500,0.007729,-0.005771
shannonentropy@10,0.008600,0.005971,-0.002629
ItemCoverage@5,0.004415,0.009009,0.004594
ItemCoverage@10,0.007857,0.012503,0.004645
Novelty@5,0.233192,0.256870,0.023678
Novelty@10,0.239999,0.256607,0.016609
Serendipity_Ge@5,0.039568,0.026720,-0.012848
Serendipity_Ge@10,0.034395,0.028482,-0.005912
Serendipity_Yan@5,0.009044,0.005222,-0.003822
Serendipity_Yan@10,0.008291,0.005985,-0.002306
Unexpectedness@5,0.251150,0.225060,-0.026091
Unexpectedness@10,0.237073,0.222835,-0.014237
