user_id,item_id,score
1,48204,10.0
1,28156,9.0
1,14096,8.0
1,6177,7.0
1,45007,6.0
1,25500,5.0
1,6680,4.0
1,75993,3.0
1,45135,2.0
1,76371,1.0
2,70711,10.0
2,59777,9.0
2,16577,8.0
2,70031,7.0
2,51248,6.0
2,71100,5.0
2,49340,4.0
2,51775,3.0
2,51426,2.0
2,39970,1.0
3,7638,10.0
3,57473,9.0
3,74748,8.0
3,58733,7.0
3,48204,6.0
3,15896,5.0
3,55531,4.0
3,11488,3.0
3,55175,2.0
3,41789,1.0
4,34859,10.0
4,44006,9.0
4,5702,8.0
4,22906,7.0
4,6507,6.0
4,74744,5.0
4,907,4.0
4,6680,3.0
4,75993,2.0
4,6750,1.0
5,74748,10.0
5,47924,9.0
5,75675,8.0
5,76019,7.0
5,74721,6.0
5,74663,5.0
5,75903,4.0
5,10339,3.0
5,74719,2.0
5,14751,1.0
6,7638,10.0
6,74748,9.0
6,74721,8.0
6,8451,7.0
6,45081,6.0
6,11209,5.0
6,77133,4.0
6,77131,3.0
6,6177,2.0
6,10339,1.0
7,75903,10.0
7,74721,9.0
7,74748,8.0
7,10339,7.0
7,77133,6.0
7,7638,5.0
7,31929,4.0
7,77131,3.0
7,9963,2.0
7,11209,1.0
8,6491,10.0
8,7638,9.0
8,77131,8.0
8,74748,7.0
8,6059,6.0
8,74721,5.0
8,45081,4.0
8,23615,3.0
8,9629,2.0
8,6177,1.0
9,62311,10.0
9,74711,9.0
9,76019,8.0
9,1881,7.0
9,5820,6.0
9,75675,5.0
9,47924,4.0
9,74744,3.0
9,14751,2.0
9,74719,1.0
10,37986,10.0
10,9641,9.0
10,44006,8.0
10,34859,7.0
10,7638,6.0
10,14823,5.0
10,6507,4.0
10,100,3.0
10,3746,2.0
10,6920,1.0
11,34859,10.0
11,44006,9.0
11,37,8.0
11,3746,7.0
11,100,6.0
11,6507,5.0
11,9641,4.0
11,14823,3.0
11,6680,2.0
11,7638,1.0
12,33674,10.0
12,22906,9.0
12,36188,8.0
12,44006,7.0
12,1725,6.0
12,6628,5.0
12,5953,4.0
12,1881,3.0
12,6920,2.0
12,75664,1.0
13,62311,10.0
13,11209,9.0
13,74748,8.0
13,8451,7.0
13,77131,6.0
13,77133,5.0
13,74663,4.0
13,5820,3.0
13,14751,2.0
13,74719,1.0
14,62311,10.0
14,1881,9.0
14,823,8.0
14,74744,7.0
14,6465,6.0
14,74719,5.0
14,14751,4.0
14,74748,3.0
14,11209,2.0
14,5820,1.0
15,1881,10.0
15,6508,9.0
15,74719,8.0
15,74858,7.0
15,565,6.0
15,75675,5.0
15,5820,4.0
15,823,3.0
15,10339,2.0
15,74721,1.0
16,74744,10.0
16,9641,9.0
16,7638,8.0
16,74719,7.0
16,9963,6.0
16,100,5.0
16,6920,4.0
16,907,3.0
16,47924,2.0
16,37,1.0
17,34859,10.0
17,37986,9.0
17,9641,8.0
17,14823,7.0
17,100,6.0
17,907,5.0
17,6920,4.0
17,2027,3.0
17,895,2.0
17,235,1.0
18,74748,10.0
18,28156,9.0
18,57473,8.0
18,59777,7.0
18,65739,6.0
18,51539,5.0
18,67393,4.0
18,64109,3.0
18,1588,2.0
18,39469,1.0
19,34859,10.0
19,37986,9.0
19,14823,8.0
19,100,7.0
19,6920,6.0
19,6507,5.0
19,2027,4.0
19,895,3.0
19,907,2.0
19,74663,1.0
20,6177,10.0
20,6680,9.0
20,75903,8.0
20,16,7.0
20,6785,6.0
20,74721,5.0
20,74923,4.0
20,37,3.0
20,10339,2.0
20,6920,1.0
21,34859,10.0
21,44006,9.0
21,74744,8.0
21,6507,7.0
21,7638,6.0
21,47924,5.0
21,100,4.0
21,6920,3.0
21,907,2.0
21,74858,1.0
22,30620,10.0
22,9641,9.0
22,74744,8.0
22,9963,7.0
22,6465,6.0
22,6680,5.0
22,76371,4.0
22,14751,3.0
22,951,2.0
22,6508,1.0
23,5646,10.0
23,7638,9.0
23,9629,8.0
23,9963,7.0
23,8451,6.0
23,75568,5.0
23,18336,4.0
23,74721,3.0
23,74719,2.0
23,37,1.0
24,7638,10.0
24,22967,9.0
24,15005,8.0
24,36261,7.0
24,8451,6.0
24,19121,5.0
24,74721,4.0
24,9629,3.0
24,37033,2.0
24,8581,1.0
