metric,baseline,reranked,delta
averagepopularity@5,36.142303,27.343515,-8.798788
averagepopularity@10,32.580485,27.854727,-4.725758
giniindex@5,0.925200,0.903988,-0.021212
giniindex@10,0.891300,0.869434,-0.021866
ndcg@5,0.034100,0.015230,-0.018870
ndcg@10,0.040000,0.022747,-0.017253
precision@5,0.024800,0.012121,-0.012679
precision@10,0.020300,0.013576,-0.006724
recall@5,0.032600,0.017585,-0.015015
recall@10,0.052600,0.036780,-0.015820
shannonentropy@5,0.004400,0.003976,-0.000424
shannonentropy@10,0.003000,0.002762,-0.000238
ItemCoverage@5,0.228896,0.263175,0.034278
ItemCoverage@10,0.355438,0.397405,0.041967
Novelty@5,0.315852,0.347341,0.031489
Novelty@10,0.325761,0.343058,0.017296
Serendipity_Ge@5,0.023879,0.011273,-0.012606
Serendipity_Ge@10,0.018667,0.012727,-0.005939
Serendipity_Yan@5,0.012454,0.005841,-0.006613
Serendipity_Yan@10,0.010150,0.006658,-0.003492
Unexpectedness@5,0.504260,0.499879,-0.004381
Unexpectedness@10,0.503099,0.500228,-0.002871
