user_id,item_id,score
1,221,10.0
1,5605,9.0
1,715,8.0
1,1342,7.0
1,4437,6.0
1,3824,5.0
1,1116,4.0
1,699,3.0
1,713,2.0
1,1490,1.0
2,2232,10.0
2,2378,9.0
2,3304,8.0
2,3319,7.0
2,1528,6.0
2,3139,5.0
2,4326,4.0
2,245,3.0
2,1016,2.0
2,2189,1.0
3,729,10.0
3,4367,9.0
3,4031,8.0
3,3581,7.0
3,4491,6.0
3,1997,5.0
3,485,4.0
3,1733,3.0
3,5148,2.0
3,804,1.0
4,221,10.0
4,971,9.0
4,526,8.0
4,1517,7.0
4,1730,6.0
4,1976,5.0
4,1433,4.0
4,916,3.0
4,1125,2.0
4,2539,1.0
5,3901,10.0
5,794,9.0
5,3169,8.0
5,2730,7.0
5,3350,6.0
5,4801,5.0
5,2811,4.0
5,4746,3.0
5,1342,2.0
5,2616,1.0
6,214,10.0
6,865,9.0
6,3011,8.0
6,186,7.0
6,971,6.0
6,1366,5.0
6,1887,4.0
6,2539,3.0
6,2669,2.0
6,1495,1.0
7,5327,10.0
7,4718,9.0
7,5468,8.0
7,5469,7.0
7,1154,6.0
7,4147,5.0
7,1299,4.0
7,6024,3.0
7,1638,2.0
7,3109,1.0
8,3546,10.0
8,2285,9.0
8,5031,8.0
8,3609,7.0
8,2183,6.0
8,2755,5.0
8,4517,4.0
8,2232,3.0
8,1891,2.0
8,357,1.0
9,674,10.0
9,68,9.0
9,1205,8.0
9,3730,7.0
9,1698,6.0
9,3005,5.0
9,4714,4.0
9,1509,3.0
9,996,2.0
9,1004,1.0
10,4318,10.0
10,6144,9.0
10,526,8.0
10,5217,7.0
10,3044,6.0
10,482,5.0
10,2345,4.0
10,1380,3.0
10,2371,2.0
10,1517,1.0
11,5144,10.0
11,421,9.0
11,1005,8.0
11,3211,7.0
11,3179,6.0
11,4502,5.0
11,3882,4.0
11,1528,3.0
11,211,2.0
11,4356,1.0
12,5891,10.0
12,6156,9.0
12,3457,8.0
12,3515,7.0
12,2347,6.0
12,5843,5.0
12,3650,4.0
12,3641,3.0
12,3657,2.0
12,6195,1.0
13,3661,10.0
13,2174,9.0
13,3937,8.0
13,322,7.0
13,2165,6.0
13,3546,5.0
13,376,4.0
13,1870,3.0
13,4321,2.0
13,3615,1.0
14,3609,10.0
14,3785,9.0
14,1891,8.0
14,342,7.0
14,3640,6.0
14,3005,5.0
14,1698,4.0
14,4714,3.0
14,3035,2.0
14,674,1.0
15,631,10.0
15,357,9.0
15,1511,8.0
15,49,7.0
15,3107,6.0
15,1116,5.0
15,2285,4.0
15,944,3.0
15,1380,2.0
15,1887,1.0
16,2371,10.0
16,1851,9.0
16,1187,8.0
16,1849,7.0
16,944,6.0
16,5548,5.0
16,5758,4.0
16,5656,3.0
16,589,2.0
16,4846,1.0
17,5033,10.0
17,2371,9.0
17,1116,8.0
17,944,7.0
17,4176,6.0
17,1511,5.0
17,2285,4.0
17,4338,3.0
17,13,2.0
17,245,1.0
18,322,10.0
18,5033,9.0
18,1380,8.0
18,2285,7.0
18,2011,6.0
18,1517,5.0
18,2411,4.0
18,4240,3.0
18,5704,2.0
18,1187,1.0
19,4517,10.0
19,3546,9.0
19,322,8.0
19,2935,7.0
19,1843,6.0
19,2669,5.0
19,730,4.0
19,1552,3.0
19,1900,2.0
19,1116,1.0
20,2285,10.0
20,1131,9.0
20,2539,8.0
20,1730,7.0
20,245,6.0
20,3615,5.0
20,4642,4.0
20,4781,3.0
20,4707,2.0
20,730,1.0
21,631,10.0
21,186,9.0
21,2293,8.0
21,198,7.0
21,49,6.0
21,1420,5.0
21,1426,4.0
21,1380,3.0
21,1887,2.0
21,1508,1.0
22,2285,10.0
22,1131,9.0
22,629,8.0
22,4864,7.0
22,2825,6.0
22,2852,5.0
22,1389,4.0
22,1434,3.0
22,4707,2.0
22,1116,1.0
23,3536,10.0
23,2430,9.0
23,944,8.0
23,4240,7.0
23,546,6.0
23,2517,5.0
23,1131,4.0
23,3574,3.0
23,4393,2.0
23,4212,1.0
24,6128,10.0
24,5031,9.0
24,4345,8.0
24,3609,7.0
24,2755,6.0
24,5028,5.0
24,2166,4.0
24,4072,3.0
24,4380,2.0
24,59,1.0
25,80,10.0
25,2623,9.0
25,686,8.0
25,749,7.0
25,3319,6.0
25,2351,5.0
25,4355,4.0
25,4356,3.0
25,2407,2.0
25,1036,1.0
26,898,10.0
26,973,9.0
26,4354,8.0
26,4346,7.0
26,2335,6.0
26,4369,5.0
26,2337,4.0
26,2341,3.0
26,392,2.0
26,1059,1.0
27,3319,10.0
27,3661,9.0
27,4517,8.0
27,1891,7.0
27,3639,6.0
27,48,5.0
27,2232,4.0
27,5032,3.0
27,169,2.0
27,1881,1.0
28,357,10.0
28,266,9.0
28,61,8.0
28,344,7.0
28,944,6.0
28,2285,5.0
28,48,4.0
28,952,3.0
28,1893,2.0
28,1552,1.0
29,5093,10.0
29,4598,9.0
29,3762,8.0
29,1309,7.0
29,553,6.0
29,1532,5.0
29,1345,4.0
29,3259,3.0
29,1540,2.0
29,1466,1.0
30,3730,10.0
30,1343,9.0
30,1403,8.0
30,1509,7.0
30,982,6.0
30,1635,5.0
30,221,4.0
30,819,3.0
30,5289,2.0
30,4621,1.0
31,5605,10.0
31,674,9.0
31,326,8.0
31,3052,7.0
31,5301,6.0
31,4714,5.0
31,3005,4.0
31,68,3.0
31,1698,2.0
31,4715,1.0
32,2129,10.0
32,3762,9.0
32,2973,8.0
32,1012,7.0
32,1125,6.0
32,3992,5.0
32,5923,4.0
32,1312,3.0
32,2001,2.0
32,345,1.0
33,590,10.0
33,2183,9.0
33,677,8.0
33,1934,7.0
33,854,6.0
33,4841,5.0
33,3774,4.0
33,2122,3.0
33,1952,2.0
33,421,1.0
34,1116,10.0
34,2539,9.0
34,2596,8.0
34,1994,7.0
34,2109,6.0
34,2001,5.0
34,5864,4.0
34,1012,3.0
34,1976,2.0
34,479,1.0
35,3785,10.0
35,898,9.0
35,4304,8.0
35,193,7.0
35,1944,6.0
35,2232,5.0
35,2183,4.0
35,4517,3.0
35,3640,2.0
35,1380,1.0
36,982,10.0
36,1342,9.0
36,2605,8.0
36,730,7.0
36,1934,6.0
36,1116,5.0
36,699,4.0
36,2650,3.0
36,292,2.0
36,1125,1.0
37,38,10.0
37,34,9.0
37,4789,8.0
37,542,7.0
37,1012,6.0
37,527,5.0
37,3226,4.0
37,2116,3.0
37,3270,2.0
37,2855,1.0
38,674,10.0
38,3079,9.0
38,3028,8.0
38,1698,7.0
38,5663,6.0
38,1004,5.0
38,1338,4.0
38,1509,3.0
38,4714,2.0
38,1097,1.0
39,898,10.0
39,1944,9.0
39,4342,8.0
39,2232,7.0
39,1366,6.0
39,534,5.0
39,2378,4.0
39,3304,3.0
39,3764,2.0
39,5024,1.0
40,824,10.0
40,1658,9.0
40,3128,8.0
40,3777,7.0
40,170,6.0
40,288,5.0
40,677,4.0
40,3139,3.0
40,2351,2.0
40,692,1.0
41,4714,10.0
41,1934,9.0
41,1118,8.0
41,1006,7.0
41,3169,6.0
41,3226,5.0
41,1319,4.0
41,4789,3.0
41,3217,2.0
41,2855,1.0
42,4741,10.0
42,3730,9.0
42,4643,8.0
42,103,7.0
42,1698,6.0
42,4714,5.0
42,996,4.0
42,819,3.0
42,2635,2.0
42,2621,1.0
43,2150,10.0
43,4338,9.0
43,3443,8.0
43,6191,7.0
43,3477,6.0
43,3309,5.0
43,3503,4.0
43,3413,3.0
43,3486,2.0
43,3479,1.0
44,4184,10.0
44,596,9.0
44,612,8.0
44,4024,7.0
44,5925,6.0
44,3680,5.0
44,1072,4.0
44,1832,3.0
44,5202,2.0
44,2508,1.0
45,4663,10.0
45,3661,9.0
45,5768,8.0
45,1578,7.0
45,5748,6.0
45,3937,5.0
45,2627,4.0
45,828,3.0
45,775,2.0
45,2165,1.0
46,221,10.0
46,2342,9.0
46,55,8.0
46,5801,7.0
46,3256,6.0
46,1012,5.0
46,4773,4.0
46,34,3.0
46,2855,2.0
46,3215,1.0
47,748,10.0
47,1945,9.0
47,4715,8.0
47,2650,7.0
47,2073,6.0
47,5605,5.0
47,1843,4.0
47,2575,3.0
47,1635,2.0
47,717,1.0
48,1116,10.0
48,776,9.0
48,2596,8.0
48,3192,7.0
48,3133,6.0
48,4371,5.0
48,1118,4.0
48,715,3.0
48,1997,2.0
48,3947,1.0
49,221,10.0
49,5605,9.0
49,423,8.0
49,3025,7.0
49,1342,6.0
49,1431,5.0
49,5289,4.0
49,1934,3.0
49,982,2.0
49,4621,1.0
50,2232,10.0
50,3639,9.0
50,3352,8.0
50,1900,7.0
50,4338,6.0
50,2302,5.0
50,245,4.0
50,3739,3.0
50,3764,2.0
50,2623,1.0
51,1509,10.0
51,716,9.0
51,1457,8.0
51,1431,7.0
51,4714,6.0
51,1698,5.0
51,674,4.0
51,5605,3.0
51,2917,2.0
