user_id,recs
1,"[5649, 41091, 67036, 37979, 62482, 67055, 44101, 64457, 41094, 22882, 30870, 30863, 41736, 44189, 15896, 77974, 69946, 30927, 63291, 28156, 1685, 19582, 728, 815, 48648, 67069, 13940, 28018, 67032, 77808, 33081, 33553, 64471, 67052, 41881, 66993, 76909, 64459, 55480, 28166, 49482, 49846, 62319, 19657, 77929, 64453, 36335, 44117, 48590, 47857]"
2,"[70311, 16241, 48711, 13932, 49779, 47829, 1588, 49770, 51775, 8369, 39427, 64798, 16259, 56256, 39878, 13903, 5188, 49761, 65093, 38657, 51226, 66705, 29178, 51766, 24947, 49764, 69035, 51248, 56149, 32616, 50781, 16246, 73523, 49754, 52299, 28895, 75753, 16286, 48858, 75871, 49769, 75758, 52814, 51153, 49874, 56532, 51218, 77119, 38661, 39433]"
3,"[58690, 22393, 22040, 58258, 71783, 22292, 22400, 22830, 31283, 42805, 67973, 22506, 67415, 55661, 22820, 54323, 22716, 25543, 11732, 61386, 25584, 70477, 22660, 68015, 67392, 32648, 57355, 43061, 61895, 22483, 54341, 22677, 22453, 42896, 22810, 22761, 22002, 22735, 64132, 54356, 32578, 32703, 22420, 22276, 21424, 25386, 58938, 65723, 22557, 58355]"
4,"[235, 584, 76088, 7105, 7994, 6721, 6695, 1664, 47924, 14462, 6680, 60, 633, 16, 74358, 73159, 27345, 74744, 22978, 841, 6866, 74810, 6820, 75993, 10339, 6853, 6330, 6719, 20048, 642, 6465, 3792, 47389, 6822, 6324, 74737, 13134, 74709, 994, 597, 76371, 10849, 76442, 19564, 75568, 270, 1936, 74721, 6791, 28794]"
5,"[75568, 74719, 6721, 2715, 206, 362, 1881, 9831, 1680, 1141, 74534, 18336, 31456, 12933, 10321, 959, 10339, 1539, 18049, 9335, 74711, 30663, 34109, 13549, 9963, 44151, 10001, 19388, 29975, 74376, 1936, 74431, 989, 46360, 1177, 14700, 37, 20110, 611, 27499, 449, 31915, 18206, 5814, 29984, 75903, 9069, 7746, 6963, 18171]"
6,"[7307, 65575, 44989, 3041, 13067, 4178, 6064, 41694, 42270, 13031, 22864, 5420, 32187, 42706, 15806, 9318, 13078, 54662, 5914, 35936, 13092, 10983, 15724, 25334, 13954, 20968, 51215, 28061, 12925, 45577, 68353, 65651, 5999, 11055, 2615, 2740, 62423, 15886, 37070, 8208, 49464, 1519, 20795, 75571, 8677, 22944, 7302, 65574, 21176, 37705]"
7,"[10339, 27953, 21633, 18969, 74923, 1287, 5772, 14679, 14595, 2355, 15341, 15319, 41799, 7766, 2240, 7795, 20436, 6498, 5854, 12007, 23688, 3481, 13031, 18912, 21367, 7044, 9963, 6470, 6579, 1107, 12221, 13808, 13458, 3754, 16620, 6041, 20746, 20358, 2349, 12246, 11931, 13288, 75830, 9393, 18713, 21304, 2600, 12210, 13798, 5771]"
8,"[18912, 30663, 74376, 6965, 10065, 20358, 31964, 12087, 13311, 31649, 31744, 31748, 362, 8270, 7817, 12068, 23939, 21385, 8444, 47133, 31995, 13644, 14595, 45034, 339, 15215, 20532, 18887, 9872, 31951, 5792, 15099, 31955, 7297, 10852, 7007, 20749, 20660, 25817, 74534, 7752, 9873, 12458, 193, 7272, 6409, 10791, 1975, 31915, 31599]"
9,"[30663, 43781, 6972, 75568, 1497, 19564, 6892, 74711, 6904, 6324, 9194, 5698, 6855, 2293, 222, 915, 8711, 74424, 7085, 653, 344, 7, 6772, 73132, 18336, 5936, 73895, 10849, 6357, 14610, 18571, 190, 74096, 14481, 6662, 9200, 5844, 597, 6322, 6453, 26336, 340, 20174, 325, 6490, 32093, 8601, 18291, 13387, 20155]"
10,"[74802, 74741, 23322, 15392, 75586, 74663, 21619, 22978, 235, 9963, 13110, 23281, 14471, 27345, 22436, 21435, 8501, 2211, 8468, 74439, 75677, 74840, 75884, 22968, 20296, 16279, 18969, 23287, 958, 16215, 16620, 74833, 23277, 406, 21476, 13381, 22540, 8386, 25187, 434, 25170, 23876, 34698, 21488, 1971, 2985, 23329, 23977, 37864, 13808]"
