metric,baseline,reranked,delta
averagepopularity@5,43.630600,31.328823,-12.301777
averagepopularity@10,39.604200,31.151450,-8.452750
giniindex@5,0.978100,0.970605,-0.007495
giniindex@10,0.964200,0.954915,-0.009285
ndcg@5,0.117400,0.060019,-0.057381
ndcg@10,0.105000,0.061321,-0.043679
precision@5,0.107300,0.059920,-0.047380
precision@10,0.093100,0.061796,-0.031304
recall@5,0.013700,0.005963,-0.007737
recall@10,0.022900,0.012472,-0.010428
shannonentropy@5,0.002200,0.001940,-0.000260
shannonentropy@10,0.001400,0.001227,-0.000173
ItemCoverage@5,0.043177,0.051918,0.008740
ItemCoverage@10,0.075119,0.086764,0.011645
Novelty@5,0.318173,0.347128,0.028955
Novelty@10,0.325028,0.343853,0.018825
Serendipity_Ge@5,0.102899,0.059579,-0.043320
Serendipity_Ge@10,0.088800,0.060318,-0.028482
Serendipity_Yan@5,0.023741,0.013634,-0.010106
Serendipity_Yan@10,0.021187,0.014131,-0.007056
Unexpectedness@5,0.214922,0.219963,0.005041
Unexpectedness@10,0.218823,0.220760,0.001936
