user_id,item_id,score
1,63291,10.0
1,67036,9.0
1,64457,8.0
1,41094,7.0
1,77974,6.0
1,44101,5.0
1,44189,4.0
1,41091,3.0
1,67055,2.0
1,30927,1.0
2,29178,10.0
2,56256,9.0
2,51226,8.0
2,38657,7.0
2,66705,6.0
2,49761,5.0
2,39427,4.0
2,39878,3.0
2,64798,2.0
2,65093,1.0
3,70477,10.0
3,58258,9.0
3,22660,8.0
3,68015,7.0
3,11732,6.0
3,22820,5.0
3,42805,4.0
3,67973,3.0
3,22506,2.0
3,58690,1.0
4,10339,10.0
4,6820,9.0
4,6866,8.0
4,75993,7.0
4,841,6.0
4,73159,5.0
4,74810,4.0
4,6721,3.0
4,7994,2.0
4,74744,1.0
5,959,10.0
5,10339,9.0
5,6721,8.0
5,34109,7.0
5,13549,6.0
5,12933,5.0
5,74711,4.0
5,1141,3.0
5,10321,2.0
5,31456,1.0
6,42706,10.0
6,5914,9.0
6,10983,8.0
6,6064,7.0
6,54662,6.0
6,65575,5.0
6,15806,4.0
6,13954,3.0
6,35936,2.0
6,41694,1.0
7,5854,10.0
7,6498,9.0
7,7795,8.0
7,10339,7.0
7,27953,6.0
7,74923,5.0
7,21633,4.0
7,13031,3.0
7,7766,2.0
7,2355,1.0
8,45034,10.0
8,31995,9.0
8,7817,8.0
8,14595,7.0
8,6965,6.0
8,31744,5.0
8,12087,4.0
8,8270,3.0
8,21385,2.0
8,31748,1.0
9,74424,10.0
9,74711,9.0
9,43781,8.0
9,30663,7.0
9,344,6.0
9,1497,5.0
9,75568,4.0
9,18336,3.0
9,19564,2.0
9,2293,1.0
10,9963,10.0
10,15392,9.0
10,20296,8.0
10,13110,7.0
10,2211,6.0
10,8501,5.0
10,22436,4.0
10,74741,3.0
10,8468,2.0
10,23322,1.0
11,28449,10.0
11,74732,9.0
11,5772,8.0
11,25166,7.0
11,25153,6.0
11,15178,5.0
11,28354,4.0
11,16620,3.0
11,31850,2.0
11,21489,1.0
12,5392,10.0
12,4560,9.0
12,37054,8.0
12,7610,7.0
12,43670,6.0
12,41803,5.0
12,50354,4.0
12,3788,3.0
12,18914,2.0
12,8451,1.0
13,74516,10.0
13,20503,9.0
13,43781,8.0
13,6465,7.0
13,19224,6.0
13,7373,5.0
13,7735,4.0
13,5607,3.0
13,29819,2.0
13,6189,1.0
14,35349,10.0
14,74718,9.0
14,1881,8.0
14,28699,7.0
14,547,6.0
14,6230,5.0
14,29984,4.0
14,351,3.0
14,6201,2.0
14,9624,1.0
15,43781,10.0
15,16085,9.0
15,10339,8.0
15,5814,7.0
15,74748,6.0
15,6059,5.0
15,19121,4.0
15,75568,3.0
15,10149,2.0
15,13413,1.0
16,36069,10.0
16,58,9.0
16,63168,8.0
16,1936,7.0
16,12944,6.0
16,35029,5.0
16,68637,4.0
16,76442,3.0
16,6920,2.0
16,6815,1.0
17,46399,10.0
17,74359,9.0
17,14480,8.0
17,5686,7.0
17,406,6.0
17,6815,5.0
17,2249,4.0
17,13149,3.0
17,7994,2.0
17,63168,1.0
18,38086,10.0
18,61057,9.0
18,76518,8.0
18,39672,7.0
18,52322,6.0
18,75453,5.0
18,40682,4.0
18,49107,3.0
18,52617,2.0
18,69251,1.0
19,6815,10.0
19,356,9.0
19,7145,8.0
19,76088,7.0
19,644,6.0
19,895,5.0
19,27995,4.0
19,6785,3.0
19,375,2.0
19,9766,1.0
20,356,10.0
20,324,9.0
20,6721,8.0
20,74810,7.0
20,6920,6.0
20,6680,5.0
20,10339,4.0
20,823,3.0
20,5814,2.0
20,6815,1.0
21,36069,10.0
21,10501,9.0
21,35029,8.0
21,76442,7.0
21,75897,6.0
21,6994,5.0
21,584,4.0
21,6696,3.0
21,14204,2.0
21,5486,1.0
22,5507,10.0
22,1936,9.0
22,48569,8.0
22,20142,7.0
22,6976,6.0
22,29709,5.0
22,9682,4.0
22,25879,3.0
22,19811,2.0
22,73838,1.0
23,43791,10.0
23,46349,9.0
23,16007,8.0
23,34109,7.0
23,43454,6.0
23,68604,5.0
23,45468,4.0
23,19388,3.0
23,10652,2.0
23,26706,1.0
24,34109,10.0
24,43791,9.0
24,36550,8.0
24,19434,7.0
24,36255,6.0
24,10652,5.0
24,63014,4.0
24,19364,3.0
24,74803,2.0
24,23754,1.0
25,47,10.0
25,6815,9.0
25,76088,8.0
25,47924,7.0
25,6820,6.0
25,990,5.0
25,320,4.0
25,6785,3.0
25,584,2.0
25,74719,1.0
26,9154,10.0
26,2169,9.0
26,10652,8.0
26,43677,7.0
26,3896,6.0
26,63237,5.0
26,26598,4.0
26,9793,3.0
26,8366,2.0
26,16029,1.0
27,41659,10.0
27,19068,9.0
27,5164,8.0
27,5632,7.0
27,8701,6.0
27,10709,5.0
27,4586,4.0
27,47612,3.0
27,34167,2.0
27,26683,1.0
28,77929,10.0
28,41094,9.0
28,63660,8.0
28,32768,7.0
28,33081,6.0
28,68191,5.0
28,30972,4.0
28,27106,3.0
28,33066,2.0
28,708,1.0
29,10501,10.0
29,33056,9.0
29,76442,8.0
29,6920,7.0
29,27647,6.0
29,35185,5.0
29,6283,4.0
29,989,3.0
29,76088,2.0
29,584,1.0
30,75568,10.0
30,8451,9.0
30,76442,8.0
30,74803,7.0
30,13422,6.0
30,73460,5.0
30,74718,4.0
30,9335,3.0
30,532,2.0
30,4132,1.0
31,45821,10.0
31,63658,9.0
31,18383,8.0
31,29377,7.0
