metric,baseline,reranked,delta
averagepopularity@5,1300.258300,1132.587318,-167.670982
averagepopularity@10,1226.518100,1184.565050,-41.953050
giniindex@5,0.931200,0.954671,0.023471
giniindex@10,0.912700,0.927353,0.014653
ndcg@5,0.246500,0.130107,-0.116393
ndcg@10,0.236900,0.145840,-0.091060
precision@5,0.223000,0.126291,-0.096709
precision@10,0.188700,0.129040,-0.059660
recall@5,0.090300,0.051982,-0.038318
recall@10,0.147600,0.107288,-0.040312
shannonentropy@5,0.004900,0.005616,0.000716
shannonentropy@10,0.004000,0.003901,-0.000099
ItemCoverage@5,0.313191,0.251146,-0.062045
ItemCoverage@10,0.402212,0.396817,-0.005395
Novelty@5,0.144496,0.148725,0.004228
Novelty@10,0.146033,0.147924,0.001891
Serendipity_Ge@5,0.201159,0.120265,-0.080894
Serendipity_Ge@10,0.164536,0.113162,-0.051374
Serendipity_Yan@5,0.040186,0.024620,-0.015567
Serendipity_Yan@10,0.036147,0.025108,-0.011038
Unexpectedness@5,0.163512,0.185810,0.022299
Unexpectedness@10,0.173870,0.185420,0.011549
