user_id,item_id,score
1,610,10.0
1,154,9.0
1,128,8.0
1,41,7.0
1,506,6.0
1,391,5.0
1,382,4.0
1,10,3.0
1,105,2.0
1,421,1.0
2,152,10.0
2,1529,9.0
2,97,8.0
2,670,7.0
2,265,6.0
2,1369,5.0
2,24,4.0
2,52,3.0
2,434,2.0
2,490,1.0
3,670,10.0
3,756,9.0
3,214,8.0
3,715,7.0
3,133,6.0
3,41,5.0
3,16,4.0
3,161,3.0
3,63,2.0
3,712,1.0
4,756,10.0
4,670,9.0
4,97,8.0
4,715,7.0
4,152,6.0
4,125,5.0
4,52,4.0
4,10,3.0
4,6,2.0
4,63,1.0
5,307,10.0
5,1489,9.0
5,959,8.0
5,471,7.0
5,525,6.0
5,24,5.0
5,351,4.0
5,335,3.0
5,516,2.0
5,500,1.0
6,680,10.0
6,722,9.0
6,610,8.0
6,720,7.0
6,47,6.0
6,41,5.0
6,6,4.0
6,10,3.0
6,208,2.0
6,383,1.0
7,670,10.0
7,133,9.0
7,214,8.0
7,247,7.0
7,117,6.0
7,265,5.0
7,128,4.0
7,68,3.0
7,52,2.0
7,129,1.0
8,152,10.0
8,124,9.0
8,1529,8.0
8,306,7.0
8,1369,6.0
8,114,5.0
8,260,4.0
8,318,3.0
8,281,2.0
8,168,1.0
9,670,10.0
9,306,9.0
9,245,8.0
9,128,7.0
9,98,6.0
9,125,5.0
9,190,4.0
9,157,3.0
9,45,2.0
9,168,1.0
10,97,10.0
10,154,9.0
10,427,8.0
10,47,7.0
10,16,6.0
10,161,5.0
10,799,4.0
10,382,3.0
10,592,2.0
10,647,1.0
11,872,10.0
11,863,9.0
11,1151,8.0
11,232,7.0
11,1201,6.0
11,2076,5.0
11,471,4.0
11,316,3.0
11,177,2.0
11,39,1.0
12,214,10.0
12,117,9.0
12,247,8.0
12,68,7.0
12,125,6.0
12,322,5.0
12,52,4.0
12,41,3.0
12,45,2.0
12,207,1.0
13,620,10.0
13,128,9.0
13,265,8.0
13,188,7.0
13,679,6.0
13,196,5.0
13,63,4.0
13,1042,3.0
13,126,2.0
13,210,1.0
14,670,10.0
14,791,9.0
14,306,8.0
14,125,7.0
14,532,6.0
14,98,5.0
14,45,4.0
14,316,3.0
14,516,2.0
14,525,1.0
15,791,10.0
15,1369,9.0
15,265,8.0
15,68,7.0
15,98,6.0
15,52,5.0
15,70,4.0
15,874,3.0
15,906,2.0
15,86,1.0
16,791,10.0
16,264,9.0
16,863,8.0
16,789,7.0
16,1856,6.0
16,2159,5.0
16,70,4.0
16,924,3.0
16,898,2.0
16,105,1.0
17,97,10.0
17,620,9.0
17,365,8.0
17,120,7.0
17,156,6.0
17,323,5.0
17,1242,4.0
17,377,3.0
17,6,2.0
17,185,1.0
18,133,10.0
18,683,9.0
18,620,8.0
18,152,7.0
18,672,6.0
18,188,5.0
18,592,4.0
18,529,3.0
18,36,2.0
18,6,1.0
19,2159,10.0
19,652,9.0
19,213,8.0
19,407,7.0
19,716,6.0
19,45,5.0
19,994,4.0
19,39,3.0
19,203,2.0
19,69,1.0
20,128,10.0
20,98,9.0
20,117,8.0
20,114,7.0
20,63,6.0
20,125,5.0
20,52,4.0
20,45,3.0
20,260,2.0
20,6,1.0
21,1315,10.0
21,134,9.0
21,924,8.0
21,741,7.0
21,908,6.0
21,940,5.0
21,172,4.0
21,391,3.0
21,161,2.0
21,784,1.0
22,756,10.0
22,576,9.0
22,214,8.0
22,811,7.0
22,636,6.0
22,716,5.0
22,522,4.0
22,45,3.0
22,172,2.0
22,538,1.0
23,857,10.0
23,326,9.0
23,620,8.0
23,744,7.0
23,128,6.0
23,991,5.0
23,260,4.0
23,152,3.0
23,663,2.0
23,6,1.0
24,1211,10.0
24,184,9.0
24,53,8.0
24,1309,7.0
24,125,6.0
24,124,5.0
24,45,4.0
24,39,3.0
24,42,2.0
24,110,1.0
25,133,10.0
25,2324,9.0
25,41,8.0
25,532,7.0
25,52,6.0
25,45,5.0
25,63,4.0
25,105,3.0
25,156,2.0
25,98,1.0
26,773,10.0
26,872,9.0
26,746,8.0
26,826,7.0
26,582,6.0
26,427,5.0
26,177,4.0
26,401,3.0
26,535,2.0
26,14,1.0
27,214,10.0
27,213,9.0
27,154,8.0
27,560,7.0
27,720,6.0
27,663,5.0
27,724,4.0
27,1196,3.0
27,1449,2.0
27,586,1.0
28,670,10.0
28,154,9.0
28,506,8.0
28,49,7.0
28,68,6.0
28,245,5.0
28,45,4.0
28,110,3.0
28,125,2.0
28,260,1.0
29,133,10.0
29,844,9.0
29,49,8.0
29,665,7.0
29,58,6.0
29,114,5.0
29,663,4.0
29,1019,3.0
29,1093,2.0
29,991,1.0
30,1216,10.0
30,1176,9.0
30,471,8.0
30,506,7.0
30,24,6.0
30,306,5.0
30,373,4.0
30,110,3.0
30,532,2.0
30,2997,1.0
31,756,10.0
31,615,9.0
31,199,8.0
31,184,7.0
31,392,6.0
31,728,5.0
31,176,4.0
31,1186,3.0
31,425,2.0
31,16,1.0
32,506,10.0
32,306,9.0
32,114,8.0
32,125,7.0
32,52,6.0
32,525,5.0
