metric,baseline,reranked,delta
averagepopularity@5,1254.023000,918.035795,-335.987205
averagepopularity@10,1178.641000,963.177815,-215.463185
giniindex@5,0.917400,0.884758,-0.032642
giniindex@10,0.897300,0.872283,-0.025017
ndcg@5,0.244600,0.091736,-0.152864
ndcg@10,0.233900,0.103925,-0.129975
precision@5,0.220200,0.093377,-0.126823
precision@10,0.183600,0.103907,-0.079693
recall@5,0.091900,0.025408,-0.066492
recall@10,0.148200,0.056533,-0.091667
shannonentropy@5,0.004300,0.003695,-0.000605
shannonentropy@10,0.003600,0.003247,-0.000353
ItemCoverage@5,0.366247,0.457877,0.091630
ItemCoverage@10,0.466357,0.532549,0.066193
Novelty@5,0.146360,0.154885,0.008525
Novelty@10,0.147923,0.153117,0.005194
Serendipity_Ge@5,0.196391,0.092086,-0.104305
Serendipity_Ge@10,0.158791,0.099238,-0.059553
Serendipity_Yan@5,0.039326,0.020915,-0.018411
Serendipity_Yan@10,0.034838,0.022601,-0.012237
Unexpectedness@5,0.165242,0.197868,0.032626
Unexpectedness@10,0.174873,0.193115,0.018242
