metric,baseline,reranked,delta
averagepopularity@5,1666.892700,1266.245132,-400.647568
averagepopularity@10,1549.899600,1304.803891,-245.095709
giniindex@5,0.976200,0.961380,-0.014820
giniindex@10,0.965800,0.954199,-0.011601
ndcg@5,0.211800,0.078044,-0.133756
ndcg@10,0.199000,0.088753,-0.110247
precision@5,0.191500,0.079238,-0.112262
precision@10,0.157000,0.089040,-0.067960
recall@5,0.075900,0.020303,-0.055597
recall@10,0.120600,0.046173,-0.074427
shannonentropy@5,0.009900,0.007110,-0.002790
shannonentropy@10,0.007600,0.006270,-0.001330
ItemCoverage@5,0.126787,0.192878,0.066091
ItemCoverage@10,0.179660,0.228487,0.048827
Novelty@5,0.137378,0.143302,0.005924
Novelty@10,0.138968,0.142623,0.003655
Serendipity_Ge@5,0.159768,0.076656,-0.083113
Serendipity_Ge@10,0.124288,0.081308,-0.042980
Serendipity_Yan@5,0.037425,0.016788,-0.020637
Serendipity_Yan@10,0.031435,0.018635,-0.012800
Unexpectedness@5,0.190330,0.201265,0.010935
Unexpectedness@10,0.195325,0.200679,0.005353
