user_id,item_id,score
1,185,10.0
1,210,9.0
1,207,8.0
1,105,7.0
1,133,6.0
1,129,5.0
1,245,4.0
1,219,3.0
1,274,2.0
1,247,1.0
2,500,10.0
2,185,9.0
2,52,8.0
2,734,7.0
2,377,6.0
2,670,5.0
2,247,4.0
2,210,3.0
2,744,2.0
2,663,1.0
3,210,10.0
3,670,9.0
3,52,8.0
3,247,7.0
3,245,6.0
3,133,5.0
3,274,4.0
3,63,3.0
3,24,2.0
3,93,1.0
4,995,10.0
4,612,9.0
4,105,8.0
4,52,7.0
4,247,6.0
4,663,5.0
4,129,4.0
4,133,3.0
4,749,2.0
4,200,1.0
5,942,10.0
5,791,9.0
5,733,8.0
5,525,7.0
5,501,6.0
5,455,5.0
5,1489,4.0
5,516,3.0
5,510,2.0
5,436,1.0
6,52,10.0
6,129,9.0
6,670,8.0
6,98,7.0
6,771,6.0
6,793,5.0
6,866,4.0
6,42,3.0
6,125,2.0
6,45,1.0
7,52,10.0
7,105,9.0
7,24,8.0
7,670,7.0
7,39,6.0
7,260,5.0
7,734,4.0
7,129,3.0
7,377,2.0
7,278,1.0
8,358,10.0
8,525,9.0
8,185,8.0
8,372,7.0
8,317,6.0
8,1107,5.0
8,316,4.0
8,306,3.0
8,129,2.0
8,291,1.0
9,1107,10.0
9,284,9.0
9,306,8.0
9,185,7.0
9,384,6.0
9,325,5.0
9,500,4.0
9,510,3.0
9,135,2.0
9,418,1.0
10,1177,10.0
10,1231,9.0
10,1019,8.0
10,63,7.0
10,865,6.0
10,215,5.0
10,199,4.0
10,793,3.0
10,58,2.0
10,211,1.0
11,24,10.0
11,418,9.0
11,505,8.0
11,284,7.0
11,247,6.0
11,39,5.0
11,245,4.0
11,316,3.0
11,500,2.0
11,516,1.0
12,612,10.0
12,744,9.0
12,210,8.0
12,663,7.0
12,52,6.0
12,105,5.0
12,322,4.0
12,247,3.0
12,421,2.0
12,200,1.0
13,513,10.0
13,1076,9.0
13,212,8.0
13,744,7.0
13,734,6.0
13,433,5.0
13,252,4.0
13,715,3.0
13,776,2.0
13,215,1.0
14,734,10.0
14,532,9.0
14,232,8.0
14,1151,7.0
14,353,6.0
14,316,5.0
14,791,4.0
14,516,3.0
14,351,2.0
14,219,1.0
15,516,10.0
15,292,9.0
15,1151,8.0
15,316,7.0
15,351,6.0
15,500,5.0
15,791,4.0
15,244,3.0
15,52,2.0
15,288,1.0
16,364,10.0
16,455,9.0
16,318,8.0
16,185,7.0
16,516,6.0
16,351,5.0
16,105,4.0
16,791,3.0
16,874,2.0
16,39,1.0
17,1242,10.0
17,995,9.0
17,612,8.0
17,513,7.0
17,52,6.0
17,377,5.0
17,670,4.0
17,435,3.0
17,200,2.0
17,776,1.0
18,606,10.0
18,278,9.0
18,643,8.0
18,433,7.0
18,133,6.0
18,52,5.0
18,39,4.0
18,756,3.0
18,196,2.0
18,896,1.0
19,604,10.0
19,213,9.0
19,663,8.0
19,135,7.0
19,744,6.0
19,52,5.0
19,185,4.0
19,991,3.0
19,435,2.0
19,69,1.0
20,500,10.0
20,52,9.0
20,6,8.0
20,24,7.0
20,129,6.0
20,377,5.0
20,670,4.0
20,39,3.0
20,245,2.0
20,210,1.0
21,52,10.0
21,185,9.0
21,316,8.0
21,105,7.0
21,516,6.0
21,135,5.0
21,39,4.0
21,219,3.0
21,734,2.0
21,278,1.0
22,24,10.0
22,124,9.0
22,515,8.0
22,41,7.0
22,1119,6.0
22,49,5.0
22,247,4.0
22,129,3.0
22,172,2.0
22,529,1.0
23,1076,10.0
23,857,9.0
23,663,8.0
23,776,7.0
23,744,6.0
23,991,5.0
23,606,4.0
23,156,3.0
23,238,2.0
23,10,1.0
24,185,10.0
24,291,9.0
24,336,8.0
24,184,7.0
24,222,6.0
24,382,5.0
24,207,4.0
24,39,3.0
24,42,2.0
24,53,1.0
25,516,10.0
25,185,9.0
25,513,8.0
25,105,7.0
25,892,6.0
25,39,5.0
25,219,4.0
25,278,3.0
25,377,2.0
25,212,1.0
26,31,10.0
26,382,9.0
26,865,8.0
26,557,7.0
26,872,6.0
26,693,5.0
26,1195,4.0
26,177,3.0
26,383,2.0
26,578,1.0
27,1093,10.0
27,995,9.0
27,744,8.0
27,663,7.0
27,1284,6.0
27,210,5.0
27,612,4.0
27,560,3.0
27,986,2.0
27,1159,1.0
28,219,10.0
28,51,9.0
28,274,8.0
28,663,7.0
28,744,6.0
28,612,5.0
28,487,4.0
28,23,3.0
28,39,2.0
28,322,1.0
29,10,10.0
29,995,9.0
29,612,8.0
29,27,7.0
29,663,6.0
29,734,5.0
29,129,4.0
29,97,3.0
29,377,2.0
29,587,1.0
30,2475,10.0
30,352,9.0
30,2492,8.0
30,367,7.0
30,267,6.0
30,307,5.0
30,285,4.0
30,946,3.0
30,110,2.0
30,276,1.0
31,663,10.0
31,105,9.0
31,125,8.0
31,560,7.0
31,1540,6.0
31,866,5.0
31,634,4.0
31,175,3.0
31,720,2.0
31,27,1.0
32,185,10.0
32,510,9.0
32,500,8.0
32,337,7.0
32,245,6.0
32,435,5.0
32,670,4.0
32,135,3.0
32,68,2.0
32,281,1.0
33,610,10.0
33,618,9.0
33,727,8.0
33,116,7.0
33,624,6.0
33,830,5.0
33,184,4.0
33,719,3.0
33,547,2.0
33,339,1.0
34,52,10.0
34,185,9.0
34,129,8.0
34,245,7.0
34,372,6.0
34,336,5.0
34,190,4.0
34,40,3.0
34,93,2.0
34,21,1.0
35,2067,10.0
35,2042,9.0
35,566,8.0
35,866,7.0
35,415,6.0
35,1395,5.0
35,771,4.0
35,1762,3.0
35,1848,2.0
35,1450,1.0
36,222,10.0
36,284,9.0
36,734,8.0
36,185,7.0
36,500,6.0
36,135,5.0
36,156,4.0
36,715,3.0
36,337,2.0
36,165,1.0
37,52,10.0
37,129,9.0
37,39,8.0
37,168,7.0
37,105,6.0
37,382,5.0
37,93,4.0
37,125,3.0
37,98,2.0
37,222,1.0
38,52,10.0
38,185,9.0
38,129,8.0
38,21,7.0
38,284,6.0
38,372,5.0
38,105,4.0
38,317,3.0
38,557,2.0
38,177,1.0
39,309,10.0
39,373,9.0
39,364,8.0
39,436,7.0
39,942,6.0
39,874,5.0
39,899,4.0
39,446,3.0
39,513,2.0
39,733,1.0
40,656,10.0
40,113,9.0
40,1004,8.0
40,663,7.0
40,768,6.0
40,749,5.0
40,78,4.0
40,991,3.0
40,216,2.0
40,755,1.0
41,516,10.0
41,500,9.0
41,185,8.0
41,316,7.0
41,318,6.0
41,52,5.0
41,105,4.0
41,306,3.0
41,219,2.0
41,734,1.0
42,848,10.0
42,1001,9.0
42,1242,8.0
42,1076,7.0
42,1015,6.0
42,741,5.0
42,776,4.0
42,377,3.0
42,768,2.0
42,513,1.0
43,364,10.0
43,278,9.0
43,318,8.0
43,513,7.0
43,791,6.0
43,219,5.0
43,351,4.0
43,244,3.0
43,516,2.0
43,734,1.0
44,105,10.0
44,435,9.0
44,52,8.0
44,1116,7.0
44,1006,6.0
44,1159,5.0
44,247,4.0
44,991,3.0
44,744,2.0
44,49,1.0
45,40,10.0
45,372,9.0
45,1060,8.0
45,281,7.0
45,1408,6.0
45,668,5.0
45,451,4.0
45,794,3.0
45,172,2.0
45,336,1.0
46,601,10.0
46,203,9.0
46,1536,8.0
46,210,7.0
46,274,6.0
46,912,5.0
46,910,4.0
46,585,3.0
46,1006,2.0
46,264,1.0
47,744,10.0
47,663,9.0
47,767,8.0
47,487,7.0
47,662,6.0
47,135,5.0
47,260,4.0
47,106,3.0
47,105,2.0
47,322,1.0
48,376,10.0
48,741,9.0
48,203,8.0
48,1042,7.0
48,858,6.0
48,703,5.0
48,1103,4.0
48,210,3.0
48,156,2.0
48,1102,1.0
49,185,10.0
49,135,9.0
49,52,8.0
49,39,7.0
49,734,6.0
49,513,5.0
49,27,4.0
49,274,3.0
49,278,2.0
49,744,1.0
50,854,10.0
50,861,9.0
50,2059,8.0
50,1172,7.0
50,886,6.0
50,525,5.0
50,1713,4.0
50,350,3.0
50,341,2.0
50,481,1.0
51,185,10.0
51,525,9.0
51,510,8.0
51,520,7.0
51,52,6.0
51,500,5.0
51,260,4.0
51,306,3.0
51,245,2.0
51,129,1.0
52,39,10.0
52,652,9.0
52,93,8.0
52,45,7.0
52,69,6.0
52,167,5.0
52,156,4.0
52,133,3.0
52,606,2.0
52,95,1.0
53,991,10.0
53,318,9.0
53,1116,8.0
53,264,7.0
53,189,6.0
53,256,5.0
53,93,4.0
53,196,3.0
53,203,2.0
53,39,1.0
54,744,10.0
54,210,9.0
54,663,8.0
54,52,7.0
54,612,6.0
54,105,5.0
54,560,4.0
54,247,3.0
54,634,2.0
54,129,1.0
55,510,10.0
55,185,9.0
55,500,8.0
55,337,7.0
55,52,6.0
55,105,5.0
55,135,4.0
55,247,3.0
55,1,2.0
55,670,1.0
56,525,10.0
56,506,9.0
56,318,8.0
56,1107,7.0
56,185,6.0
56,510,5.0
56,306,4.0
56,284,3.0
56,316,2.0
56,500,1.0
57,950,10.0
57,520,9.0
57,1713,8.0
57,523,7.0
57,500,6.0
57,306,5.0
57,518,4.0
57,542,3.0
57,274,2.0
57,52,1.0
58,421,10.0
58,995,9.0
58,1286,8.0
58,93,7.0
58,1076,6.0
58,513,5.0
58,124,4.0
58,219,3.0
58,20,2.0
58,117,1.0
59,697,10.0
59,563,9.0
59,2067,8.0
59,830,7.0
59,1232,6.0
59,125,5.0
59,1395,4.0
59,1676,3.0
59,670,2.0
59,1,1.0
60,52,10.0
60,24,9.0
60,245,8.0
60,105,7.0
60,39,6.0
60,247,5.0
60,260,4.0
60,133,3.0
60,129,2.0
60,49,1.0
61,950,10.0
61,886,9.0
61,994,8.0
61,1172,7.0
61,854,6.0
61,525,5.0
61,510,4.0
61,520,3.0
61,341,2.0
61,861,1.0
62,16,10.0
62,207,9.0
62,618,8.0
62,24,7.0
62,117,6.0
62,247,5.0
62,771,4.0
62,137,3.0
62,2042,2.0
62,719,1.0
63,309,10.0
63,1388,9.0
63,328,8.0
63,364,7.0
63,446,6.0
63,278,5.0
63,652,4.0
63,942,3.0
63,436,2.0
63,373,1.0
64,516,10.0
64,318,9.0
64,185,8.0
64,316,7.0
64,500,6.0
64,734,5.0
64,52,4.0
64,135,3.0
64,247,2.0
64,260,1.0
65,185,10.0
65,117,9.0
65,336,8.0
65,156,7.0
65,606,6.0
65,129,5.0
65,245,4.0
65,69,3.0
65,93,2.0
65,161,1.0
66,185,10.0
66,500,9.0
66,135,8.0
66,52,7.0
66,39,6.0
66,129,5.0
66,247,4.0
