metric,baseline,reranked,delta
averagepopularity@5,1159.589000,849.263576,-310.325424
averagepopularity@10,1091.901000,891.576242,-200.324758
giniindex@5,0.899800,0.865314,-0.034486
giniindex@10,0.878400,0.852463,-0.025937
ndcg@5,0.229700,0.089280,-0.140420
ndcg@10,0.221300,0.100804,-0.120496
precision@5,0.209400,0.091788,-0.117612
precision@10,0.177700,0.101209,-0.076491
recall@5,0.083400,0.024569,-0.058831
recall@10,0.138900,0.054126,-0.084774
shannonentropy@5,0.004300,0.003672,-0.000628
shannonentropy@10,0.003500,0.003242,-0.000258
ItemCoverage@5,0.388129,0.476204,0.088074
ItemCoverage@10,0.487691,0.550328,0.062637
Novelty@5,0.147188,0.155950,0.008762
Novelty@10,0.148888,0.154292,0.005404
Serendipity_Ge@5,0.192649,0.090464,-0.102185
Serendipity_Ge@10,0.157632,0.096772,-0.060861
Serendipity_Yan@5,0.105804,0.046400,-0.059404
Serendipity_Yan@10,0.089722,0.051080,-0.038642
Unexpectedness@5,0.513746,0.514497,0.000751
Unexpectedness@10,0.513393,0.514297,0.000903
