user_id,item_id,score
1,105,10.0
1,168,9.0
1,135,8.0
1,414,7.0
1,128,6.0
1,117,5.0
1,85,4.0
1,740,3.0
1,125,2.0
1,65,1.0
2,718,10.0
2,546,9.0
2,597,8.0
2,52,7.0
2,417,6.0
2,237,5.0
2,1535,4.0
2,24,3.0
2,280,2.0
2,437,1.0
3,381,10.0
3,8,9.0
3,10,8.0
3,614,7.0
3,16,6.0
3,641,5.0
3,34,4.0
3,41,3.0
3,600,2.0
3,273,1.0
4,105,10.0
4,661,9.0
4,1108,8.0
4,24,7.0
4,747,6.0
4,1226,5.0
4,668,4.0
4,434,3.0
4,93,2.0
4,742,1.0
5,957,10.0
5,1529,9.0
5,454,8.0
5,493,7.0
5,2471,6.0
5,457,5.0
5,731,4.0
5,978,3.0
5,435,2.0
5,2083,1.0
6,531,10.0
6,311,9.0
6,606,8.0
6,844,7.0
6,718,6.0
6,111,5.0
6,157,4.0
6,124,3.0
6,144,2.0
6,117,1.0
7,24,10.0
7,189,9.0
7,277,8.0
7,214,7.0
7,203,6.0
7,774,5.0
7,1707,4.0
7,215,3.0
7,713,2.0
7,156,1.0
8,319,10.0
8,538,9.0
8,530,8.0
8,256,7.0
8,985,6.0
8,1105,5.0
8,305,4.0
8,57,3.0
8,1524,2.0
8,684,1.0
9,130,10.0
9,185,9.0
9,21,8.0
9,509,7.0
9,499,6.0
9,135,5.0
9,381,4.0
9,383,3.0
9,177,2.0
9,406,1.0
10,1246,10.0
10,1074,9.0
10,1857,8.0
10,863,7.0
10,600,6.0
10,1164,5.0
10,807,4.0
10,219,3.0
10,1613,2.0
10,1324,1.0
11,505,10.0
11,889,9.0
11,1199,8.0
11,350,7.0
11,315,6.0
11,316,5.0
11,342,4.0
11,515,3.0
11,1149,2.0
11,527,1.0
12,1238,10.0
12,661,9.0
12,1091,8.0
12,207,7.0
12,742,6.0
12,611,5.0
12,1464,4.0
12,1157,3.0
12,321,2.0
12,137,1.0
13,469,10.0
13,546,9.0
13,719,8.0
13,775,7.0
13,677,6.0
13,1040,5.0
13,385,4.0
13,111,3.0
13,655,2.0
13,432,1.0
14,789,10.0
14,352,9.0
14,277,8.0
14,315,7.0
14,524,6.0
14,305,5.0
14,1114,4.0
14,210,3.0
14,742,2.0
14,238,1.0
15,789,10.0
15,512,9.0
15,861,8.0
15,52,7.0
15,508,6.0
15,702,5.0
15,165,4.0
15,124,3.0
15,61,2.0
15,438,1.0
16,1990,10.0
16,628,9.0
16,359,8.0
16,454,7.0
16,911,6.0
16,888,5.0
16,896,4.0
16,327,3.0
16,263,2.0
16,789,1.0
17,2507,10.0
17,1289,9.0
17,364,8.0
17,1230,7.0
17,1471,6.0
17,1239,5.0
17,945,4.0
17,1118,3.0
17,963,2.0
17,1003,1.0
18,1017,10.0
18,1165,9.0
18,376,8.0
18,322,7.0
18,133,6.0
18,938,5.0
18,528,4.0
18,432,3.0
18,196,2.0
18,125,1.0
19,2,10.0
19,622,9.0
19,568,8.0
19,531,7.0
19,908,6.0
19,431,5.0
19,294,4.0
19,836,3.0
19,677,2.0
19,2150,1.0
20,542,10.0
20,322,9.0
20,538,8.0
20,376,7.0
20,317,6.0
20,277,5.0
20,52,4.0
20,244,3.0
20,981,2.0
20,24,1.0
21,606,10.0
21,807,9.0
21,1324,8.0
21,906,7.0
21,1093,6.0
21,1062,5.0
21,1339,4.0
21,1074,3.0
21,782,2.0
21,573,1.0
22,222,10.0
22,814,9.0
22,807,8.0
22,34,7.0
22,331,6.0
22,243,5.0
22,316,4.0
22,514,3.0
22,203,2.0
22,189,1.0
23,221,10.0
23,288,9.0
23,1013,8.0
23,997,7.0
23,1454,6.0
23,747,5.0
23,325,4.0
23,701,3.0
23,1074,2.0
23,739,1.0
24,371,10.0
24,768,9.0
24,1041,8.0
24,222,7.0
24,76,6.0
24,382,5.0
24,177,4.0
24,813,3.0
24,381,2.0
24,514,1.0
25,359,10.0
25,185,9.0
25,315,8.0
25,105,7.0
25,135,6.0
25,287,5.0
25,512,4.0
25,39,3.0
25,859,2.0
25,935,1.0
26,381,10.0
26,514,9.0
26,190,8.0
26,424,7.0
26,870,6.0
26,399,5.0
26,152,4.0
26,710,3.0
26,428,2.0
26,124,1.0
27,1091,10.0
27,210,9.0
27,1000,8.0
27,617,7.0
27,1281,6.0
27,661,5.0
27,1157,4.0
27,585,3.0
27,765,2.0
27,611,1.0
28,381,10.0
28,44,9.0
28,110,8.0
28,509,7.0
28,1105,6.0
28,529,5.0
28,742,4.0
28,661,3.0
28,275,2.0
28,1157,1.0
29,7,10.0
29,586,9.0
29,587,8.0
29,1079,7.0
29,246,6.0
29,255,5.0
29,1464,4.0
29,49,3.0
29,216,2.0
29,1283,1.0
30,2587,10.0
30,2012,9.0
30,948,8.0
30,266,7.0
30,44,6.0
30,381,5.0
30,524,4.0
30,283,3.0
30,372,2.0
30,509,1.0
31,2727,10.0
31,1184,9.0
31,46,8.0
31,770,7.0
31,335,6.0
31,755,5.0
31,1790,4.0
31,1311,3.0
31,579,2.0
31,183,1.0
32,948,10.0
32,1105,9.0
32,44,8.0
32,524,7.0
32,185,6.0
32,830,5.0
32,517,4.0
32,499,3.0
32,372,2.0
32,238,1.0
33,603,10.0
33,1117,9.0
33,212,8.0
33,1270,7.0
33,204,6.0
33,1238,5.0
33,910,4.0
33,742,3.0
33,217,2.0
33,1249,1.0
34,1184,10.0
34,797,9.0
34,634,8.0
34,563,7.0
34,176,6.0
34,714,5.0
34,1209,4.0
34,21,3.0
34,335,2.0
34,180,1.0
35,1541,10.0
35,540,9.0
35,2427,8.0
35,2208,7.0
35,1514,6.0
35,2083,5.0
35,88,4.0
35,56,3.0
35,434,2.0
35,769,1.0
36,185,10.0
36,315,9.0
36,135,8.0
36,531,7.0
36,16,6.0
36,259,5.0
36,343,4.0
36,178,3.0
36,316,2.0
36,754,1.0
37,283,10.0
37,219,9.0
37,606,8.0
37,61,7.0
37,190,6.0
37,128,5.0
37,41,4.0
37,273,3.0
37,27,2.0
37,557,1.0
38,305,10.0
38,39,9.0
38,105,8.0
38,283,7.0
38,40,6.0
38,465,5.0
38,581,4.0
38,149,3.0
38,165,2.0
38,1363,1.0
39,897,10.0
39,872,9.0
39,868,8.0
39,454,7.0
39,516,6.0
39,896,5.0
39,501,4.0
39,888,3.0
39,799,2.0
39,1385,1.0
40,78,10.0
40,844,9.0
40,200,8.0
40,654,7.0
40,84,6.0
40,710,5.0
