metric,baseline,reranked,delta
averagepopularity@5,1312.273600,969.332815,-342.940785
averagepopularity@10,1224.595600,1006.582765,-218.012835
giniindex@5,0.937200,0.907708,-0.029492
giniindex@10,0.918600,0.895364,-0.023236
ndcg@5,0.264200,0.100734,-0.163466
ndcg@10,0.249600,0.114005,-0.135595
precision@5,0.238200,0.102185,-0.136015
precision@10,0.195500,0.112964,-0.082536
recall@5,0.098700,0.027658,-0.071042
recall@10,0.155500,0.061907,-0.093593
shannonentropy@5,0.005800,0.004484,-0.001316
shannonentropy@10,0.004500,0.003962,-0.000538
ItemCoverage@5,0.491503,0.362557,-0.128945
ItemCoverage@10,0.615322,0.421635,-0.193688
Novelty@5,0.205262,0.151468,-0.053794
Novelty@10,0.204984,0.150326,-0.054658
Serendipity_Ge@5,0.033709,0.100066,0.066358
Serendipity_Ge@10,0.032781,0.106987,0.074205
Serendipity_Yan@5,0.005749,0.039302,0.033553
Serendipity_Yan@10,0.005833,0.045043,0.039210
Unexpectedness@5,0.182787,0.397246,0.214459
Unexpectedness@10,0.190288,0.408208,0.217920
