user_id,item_id,score
1,105,10.0
1,245,9.0
1,129,8.0
1,168,7.0
1,175,6.0
1,135,5.0
1,106,4.0
1,281,3.0
1,421,2.0
1,117,1.0
2,52,10.0
2,1107,9.0
2,547,8.0
2,421,7.0
2,237,6.0
2,720,5.0
2,200,4.0
2,1110,3.0
2,1529,2.0
2,245,1.0
3,670,10.0
3,24,9.0
3,16,8.0
3,643,7.0
3,756,6.0
3,588,5.0
3,274,4.0
3,214,3.0
3,20,2.0
3,61,1.0
4,547,10.0
4,487,9.0
4,52,8.0
4,1229,7.0
4,1467,6.0
4,719,5.0
4,137,4.0
4,1110,3.0
4,237,2.0
4,1476,1.0
5,870,10.0
5,458,9.0
5,2475,8.0
5,494,7.0
5,1015,6.0
5,791,5.0
5,959,4.0
5,525,3.0
5,455,2.0
5,543,1.0
6,23,10.0
6,532,9.0
6,27,8.0
6,720,7.0
6,1762,6.0
6,51,5.0
6,172,4.0
6,722,3.0
6,1632,2.0
6,646,1.0
7,52,10.0
7,245,9.0
7,273,8.0
7,24,7.0
7,156,6.0
7,247,5.0
7,129,4.0
7,168,3.0
7,94,2.0
7,167,1.0
8,1107,10.0
8,530,9.0
8,306,8.0
8,539,7.0
8,39,6.0
8,1529,5.0
8,918,4.0
8,247,3.0
8,260,2.0
8,281,1.0
9,1107,10.0
9,796,9.0
9,382,8.0
9,185,7.0
9,832,6.0
9,510,5.0
9,284,4.0
9,983,3.0
9,670,2.0
9,135,1.0
10,49,10.0
10,793,9.0
10,176,8.0
10,16,7.0
10,865,6.0
10,734,5.0
10,336,4.0
10,427,3.0
10,1618,2.0
10,222,1.0
11,506,10.0
11,39,9.0
11,245,8.0
11,142,7.0
11,358,6.0
11,351,5.0
11,316,4.0
11,1201,3.0
11,471,2.0
11,500,1.0
12,185,10.0
12,663,9.0
12,612,8.0
12,210,7.0
12,207,6.0
12,52,5.0
12,105,4.0
12,247,3.0
12,133,2.0
12,421,1.0
13,663,10.0
13,749,9.0
13,386,8.0
13,212,7.0
13,217,6.0
13,111,5.0
13,776,4.0
13,1019,3.0
13,433,2.0
13,215,1.0
14,373,10.0
14,525,9.0
14,733,8.0
14,455,7.0
14,316,6.0
14,516,5.0
14,791,4.0
14,351,3.0
14,306,2.0
14,278,1.0
15,5,10.0
15,513,9.0
15,791,8.0
15,930,7.0
15,734,6.0
15,52,5.0
15,874,4.0
15,509,3.0
15,61,2.0
15,1146,1.0
16,278,10.0
16,1856,9.0
16,455,8.0
16,898,7.0
16,264,6.0
16,502,5.0
16,874,4.0
16,306,3.0
16,791,2.0
16,877,1.0
17,1271,10.0
17,365,9.0
17,1242,8.0
17,612,7.0
17,995,6.0
17,759,5.0
17,44,4.0
17,1233,3.0
17,1210,2.0
17,210,1.0
18,133,10.0
18,433,9.0
18,529,8.0
18,606,7.0
18,114,6.0
18,587,5.0
18,387,4.0
18,23,3.0
18,539,2.0
18,152,1.0
19,663,10.0
19,1001,9.0
